GBCounty,n_coord_GBCounty,population_agg_loc,GBProv,Prov_En,region_name,year
110100,8,0.00117903070976155,110000,Beijing,Eastern,1990
110112,3,1.280388056175838e-4,110000,Beijing,Eastern,1990
110113,2,1.276876290335663e-4,110000,Beijing,Eastern,1990
110114,2,7.96923164501523e-5,110000,Beijing,Eastern,1990
110224,1,1.168038086563626e-4,110000,Beijing,Eastern,1990
110226,2,9.72785675001515e-5,110000,Beijing,Eastern,1990
110227,3,5.0846300317137146e-5,110000,Beijing,Eastern,1990
110228,2,8.86309546906956e-5,110000,Beijing,Eastern,1990
110229,4,6.12913711082638e-5,110000,Beijing,Eastern,1990
120100,9,0.0010580561263101,120000,Tianjin,Eastern,1990
120114,2,1.75477720036396e-4,120000,Tianjin,Eastern,1990
120221,2,8.59728044766596e-5,120000,Tianjin,Eastern,1990
120223,4,1.0021712823593421e-4,120000,Tianjin,Eastern,1990
120224,3,1.522505292476592e-4,120000,Tianjin,Eastern,1990
120225,3,1.9259160762073952e-4,120000,Tianjin,Eastern,1990
130100,1,2.411114736407338e-4,130000,Hebei,Eastern,1990
130121,2,7.595852208960472e-5,130000,Hebei,Eastern,1990
130122,1,9.325197855695964e-5,130000,Hebei,Eastern,1990
130123,1,1.498736741311485e-4,130000,Hebei,Eastern,1990
130124,1,9.105557689923875e-5,130000,Hebei,Eastern,1990
130125,1,1.06387044290144e-4,130000,Hebei,Eastern,1990
130126,2,8.065119659391771e-5,130000,Hebei,Eastern,1990
130127,1,4.671267770476116e-5,130000,Hebei,Eastern,1990
130128,1,6.335331724767071e-5,130000,Hebei,Eastern,1990
130129,1,6.409193802261909e-5,130000,Hebei,Eastern,1990
130130,1,1.210780788175011e-4,130000,Hebei,Eastern,1990
130131,4,1.109788771557215e-4,130000,Hebei,Eastern,1990
130132,2,9.81790656425436e-5,130000,Hebei,Eastern,1990
130133,2,1.435639951039546e-4,130000,Hebei,Eastern,1990
130181,2,1.440186670540424e-4,130000,Hebei,Eastern,1990
130182,2,1.818908944296607e-4,130000,Hebei,Eastern,1990
130183,1,1.303882388849646e-4,130000,Hebei,Eastern,1990
130184,1,1.188454095528666e-4,130000,Hebei,Eastern,1990
130200,2,3.048876181104709e-4,130000,Hebei,Eastern,1990
130221,2,1.673272388143903e-4,130000,Hebei,Eastern,1990
130223,1,1.258830944456686e-4,130000,Hebei,Eastern,1990
130224,2,1.116255020497182e-4,130000,Hebei,Eastern,1990
130225,2,9.754659396100099e-5,130000,Hebei,Eastern,1990
130227,2,8.84540395350193e-5,130000,Hebei,Eastern,1990
130229,1,1.6738738996732041e-4,130000,Hebei,Eastern,1990
130230,1,2.706890339424702e-5,130000,Hebei,Eastern,1990
130281,2,1.635102943306751e-4,130000,Hebei,Eastern,1990
130282,3,1.190789375583593e-4,130000,Hebei,Eastern,1990
130283,2,1.546309226672833e-4,130000,Hebei,Eastern,1990
130300,1,9.57199449786435e-5,130000,Hebei,Eastern,1990
130321,8,1.380389347921847e-4,130000,Hebei,Eastern,1990
130322,3,1.118572609036541e-4,130000,Hebei,Eastern,1990
130323,2,1.23768958335337e-4,130000,Hebei,Eastern,1990
130324,2,8.732797456913989e-5,130000,Hebei,Eastern,1990
130400,1,2.302418064759841e-4,130000,Hebei,Eastern,1990
130421,1,1.135450314888057e-4,130000,Hebei,Eastern,1990
130423,1,1.639180837645088e-4,130000,Hebei,Eastern,1990
130424,1,1.068257938762212e-4,130000,Hebei,Eastern,1990
130425,1,2.11878897892566e-4,130000,Hebei,Eastern,1990
130426,2,9.6584175514122e-5,130000,Hebei,Eastern,1990
130427,2,1.760703858079115e-4,130000,Hebei,Eastern,1990
130428,1,7.807885023038471e-5,130000,Hebei,Eastern,1990
130429,2,2.224053496553039e-4,130000,Hebei,Eastern,1990
130430,1,5.386624202453098e-5,130000,Hebei,Eastern,1990
130431,1,7.012651398273651e-5,130000,Hebei,Eastern,1990
130432,1,6.995048340283856e-5,130000,Hebei,Eastern,1990
130433,1,7.9817041634904e-5,130000,Hebei,Eastern,1990
130434,2,2.149864126020195e-4,130000,Hebei,Eastern,1990
130435,1,1.085869842509783e-4,130000,Hebei,Eastern,1990
130481,3,1.701003838796158e-4,130000,Hebei,Eastern,1990
130500,1,8.52748741875168e-5,130000,Hebei,Eastern,1990
130521,3,1.250480549108765e-4,130000,Hebei,Eastern,1990
130522,1,4.830668325740433e-5,130000,Hebei,Eastern,1990
130523,1,7.222030485016513e-5,130000,Hebei,Eastern,1990
130524,1,4.607932144744016e-5,130000,Hebei,Eastern,1990
130525,1,1.264350697313783e-4,130000,Hebei,Eastern,1990
130526,1,8.594626720330819e-5,130000,Hebei,Eastern,1990
130527,1,8.83947729578678e-5,130000,Hebei,Eastern,1990
130528,1,1.819271620365743e-4,130000,Hebei,Eastern,1990
