stats_type,popgrp,age_group_m3,all_locations,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,1,0_14,1,0.1798837661054959,0.9998204966908684,0.9997550555961692,-40
within-group,1,0_14,1,0.1798837661054959,0.999756637521485,0.9996666493061308,-39
within-group,1,0_14,1,0.1798837661054959,0.9996724288843272,0.9995511420472531,-38
within-group,1,0_14,1,0.1798837661054959,0.9995599405234356,0.999397411102802,-37
within-group,1,0_14,1,0.1798837661054959,0.9994162902858624,0.9992023240407748,-36
within-group,1,0_14,1,0.1798837661054959,0.999239996500225,0.9989641416217904,-35
within-group,1,0_14,1,0.1798837661054959,0.9990202279735316,0.998665795762613,-34
within-group,1,0_14,1,0.1798837661054959,0.998749112417482,0.9983005501567602,-33
within-group,1,0_14,1,0.1798837661054959,0.9984174699842456,0.9978538839162324,-32
within-group,1,0_14,1,0.1798837661054959,0.9980347172995871,0.9973407560459108,-31
within-group,1,0_14,1,0.1798837661054959,0.9975863662409888,0.9967422507694642,-30
within-group,1,0_14,1,0.1798837661054959,0.9970605735267488,0.996042687284986,-29
within-group,1,0_14,1,0.1798837661054959,0.99645300633316225,0.995238360395326,-28
within-group,1,0_14,1,0.1798837661054959,0.9957688181109198,0.994339618846648,-27
within-group,1,0_14,1,0.1798837661054959,0.994990323878041,0.993321855525269,-26
within-group,1,0_14,1,0.1798837661054959,0.9941167036183786,0.9921948310988528,-25
within-group,1,0_14,1,0.1798837661054959,0.9931578606941796,0.9909727875009142,-24
within-group,1,0_14,1,0.1798837661054959,0.9920876584939629,0.9896305030998528,-23
within-group,1,0_14,1,0.1798837661054959,0.9908983179163884,0.9881594463880796,-22
within-group,1,0_14,1,0.1798837661054959,0.9895923151010314,0.9865688112364432,-21
within-group,1,0_14,1,0.1798837661054959,0.9881449759080182,0.9848354488421036,-20
within-group,1,0_14,1,0.1798837661054959,0.9865272801540356,0.9829258074891593,-19
within-group,1,0_14,1,0.1798837661054959,0.9846908476978729,0.9807813668028866,-18
within-group,1,0_14,1,0.1798837661054959,0.9825709157748196,0.978334858922052,-17
within-group,1,0_14,1,0.1798837661054959,0.9801527959583464,0.9755833160585344,-16
within-group,1,0_14,1,0.1798837661054959,0.9773852835135832,0.972473621701575,-15
within-group,1,0_14,1,0.1798837661054959,0.9742182560748868,0.9689668317510036,-14
within-group,1,0_14,1,0.1798837661054959,0.9706131573090132,0.9650265608526952,-13
within-group,1,0_14,1,0.1798837661054959,0.9666142390534106,0.9607090319775414,-12
within-group,1,0_14,1,0.1798837661054959,0.9622155863021464,0.9560053926118842,-11
within-group,1,0_14,1,0.1798837661054959,0.9574242744891344,0.9509313050833982,-10
within-group,1,0_14,1,0.1798837661054959,0.9522242991891336,0.94545086330532635,-9
within-group,1,0_14,1,0.1798837661054959,0.9466393863817892,0.9395945211078176,-8
within-group,1,0_14,1,0.1798837661054959,0.9405940032536476,0.9332795980185092,-7
within-group,1,0_14,1,0.1798837661054959,0.9339920163990778,0.9264003791794292,-6
within-group,1,0_14,1,0.1798837661054959,0.9267972383835896,0.918927136667459,-5
within-group,1,0_14,1,0.1798837661054959,0.9189853553684568,0.9108323073122664,-4
within-group,1,0_14,1,0.1798837661054959,0.9105019249088934,0.902082023040337,-3
within-group,1,0_14,1,0.1798837661054959,0.9012646419857732,0.8926034505611624,-2
