share_time,share_gr-40,share_gr-39,share_gr-38,share_gr-37,share_gr-36,share_gr-35,share_gr-34,share_gr-33,share_gr-32,share_gr-31,share_gr-30,share_gr-29,share_gr-28,share_gr-27,share_gr-26,share_gr-25,share_gr-24,share_gr-23,share_gr-22,share_gr-21,share_gr-20,share_gr-19,share_gr-18,share_gr-17,share_gr-16,share_gr-15,share_gr-14,share_gr-13,share_gr-12,share_gr-11,share_gr-10,share_gr-9,share_gr-8,share_gr-7,share_gr-6,share_gr-5,share_gr-4,share_gr-3,share_gr-2,share_gr-1,share_gr0,share_gr1,share_gr2,share_gr3,share_gr4,share_gr5,share_gr6,share_gr7,share_gr8,share_gr9,share_gr10,share_gr11,share_gr12,share_gr13,share_gr14,share_gr15,share_gr16,share_gr17,share_gr18,share_gr19,share_gr20,share_gr21,share_gr22,share_gr23,share_gr24,share_gr25,share_gr26,share_gr27,share_gr28,share_gr29,share_gr30,share_gr31,share_gr32,share_gr33,share_gr34,share_gr35,share_gr36,share_gr37,share_gr38,share_gr39,share_gr40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3618256000521743e-4,8.439026030996468e-4,0.001480215564575785,0.0034862093463866196,0.005709048128958744,0.008008031998845614,0.010029310964147976,0.013354540448912284,0.016451278505703777,0.019513233743368885,0.026864179373882944,0.039889269958453835,0.062040654158994936,0.07935404108477594,0.10480439313986203,0.1497543626882461,0.1980692309850071,0.24869525112056046
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0185308096663607e-4,4.1417631845098334e-4,0.0018106563581356534,0.003194166057078038,0.005700839865068018,0.007625023814396121,0.008878011686642092,0.011940693070819524,0.014490317843234778,0.019524073786884397,0.02231596671171076,0.04028782810910102,0.058054655419168044,0.09155481897464328,0.122342331847897,0.17180174345129784,0.21813452062326705,0.26225155599156086,0.3349340357274997,0.4429111033947903,0.6300327971093045,0.894102680133761
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,1.3432105734378217e-4,0.0010072574853589615,0.0018106563581356534,0.0031941660570780376,0.005587749566526641,0.007541051589813141,0.008821119511551975,0.011940693070819524,0.013751550021914385,0.0186780609458539,0.021937118825235205,0.04157964275453097,0.05880966324646579,0.10063375259294485,0.13705626671019588,0.1865227391857608,0.22983247615415092,0.27676891777755586,0.3471915051994979,0.47906637954806824,0.6805883409145702,0.919610486024223,0.9888532899684519
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,1.3432105734378217e-4,9.95875840853591e-4,0.0017148611845370504,0.0029981706884966595,0.004596407126551115,0.0067214127110591,0.008450339473895702,0.011202502957221645,0.013583818201285187,0.017036343977961867,0.02169391189777501,0.03684110749266376,0.05453788372951675,0.09786742323483975,0.13543329314841207,0.18014963608906764,0.22552303731504048,0.2670023916136866,0.33379021455551294,0.4664645320837044,0.6531232652720887,0.895201187356263,0.9784780845291668,0.9993245032098724
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,1.3432105734378217e-4,9.025078420613852e-4,0.0015624265829769315,0.002498533745705386,0.0038259576532536643,0.0060314290974177,0.007981188649044617,0.009471674573131767,0.012279719243033426,0.01503768387473962,0.020967953942829538,0.02953616986327328,0.050943963987754665,0.08744483372673091,0.12951879771063418,0.1718637587705661,0.21790751759505156,0.25560090044093225,0.31137513486265833,0.4314803978634571,0.5916699793925236,0.8496423780580957,0.9588845052819174,0.9966647288316978,0.9999999999999999
0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,1.3432105734378217e-4,2.4975026978950646e-4,0.0012962718209835265,0.0021454179240368277,0.0033089172653216446,0.004979262860351613,0.006902508034630627,0.008698308478207456,0.011385419664862766,0.013633709682099,0.019109745017784417,0.024331263994969585,0.044926772978581435,0.0697984665005265,0.1201655411850403,0.1592507944444031,0.20775734134926335,0.23833356965858504,0.2918843875900165,0.39381662655021443,0.5356359891242028,0.7743111324855836,0.9226226621131315,0.9941532809112786,0.9996159246610075,0.9999999999999999
0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,1.3432105734378217e-4,1.7523399730351723e-4,0.0012021776756789937,0.0017212039339071564,0.0028070256576688915,0.004063194934247876,0.00586382164442321,0.008000365335944747,0.0099689204478493,0.012635410678298195,0.0163617458442916,0.023294122170548055,0.03603244104877831,0.058986349536793964,0.1078462609985922,0.14508995053666482,0.18831393000313507,0.22474914967842222,0.2698510563578276,0.34201336645567065,0.47928303599144784,0.686657658010123,0.8674205990482458,0.9635801658046839,0.9972329966495519,0.9999999999999999,0.9999999999999999
0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,4.6641874874669525e-5,1.3432105734378217e-4,0.0011627691829133066,0.001435254658699265,0.0023268582674981905,0.003546599862685295,0.0049239874645127,0.007075246655521617,0.008428815849372856,0.011394494490337265,0.014620735361592403,0.02182341070037947,0.030306502992654392,0.05162359700470101,0.08730203561093107,0.13162180627123557,0.17362277447728364,0.21273341076970442,0.2511284798224666,0.3073851242636474,0.425872484692671,0.5929818051915641,0.7967736524132906,0.9255727506693064,0.9948084375753427,0.9985978873100207,0.9999999999999999,0.9999999999999999
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,4.6641874874669525e-5,1.3432105734378217e-4,3.0406281942422836e-4,0.001268212877849737,0.0020566796107431055,0.0028070256576688915,0.0040487803241993055,0.005850281619676778,0.007873117186342583,0.00998545331954709,0.013367310196695362,0.018301311261731644,0.026656958823304377,0.03856185808648312,0.07183253928476704,0.12036589343269563,0.1586282381480693,0.2011098752266861,0.23218295624852528,0.27958814751086286,0.37221294938920885,0.5230335639521165,0.7474463954632741,0.8683042671995784,0.9615656909525578,0.9972329966495519,0.9996159246610075,0.9999999999999999,0.9999999999999999
0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,1.3432105734378217e-4,1.8727358671508467e-4,0.0011820461662930405,0.0018409940372860279,0.002527162372843322,0.0036332640447808233,0.0047452150074087825,0.007371915618469498,0.008369749246604944,0.011464914654596259,0.015464465454747132,0.023709923291968613,0.03293124581643325,0.05835314576618553,0.09922261723166054,0.14243332947980886,0.18146889586317624,0.21597439522346124,0.2596197001414486,0.3273717493670249,0.45575145989950966,0.6562829935299302,0.7981540087909142,0.922862475007722,0.9840693845910714,0.9985978873100207,0.9999999999999999,0.9999999999999999,0.9999999999999999
