share_time,share_gr-40,share_gr-39,share_gr-38,share_gr-37,share_gr-36,share_gr-35,share_gr-34,share_gr-33,share_gr-32,share_gr-31,share_gr-30,share_gr-29,share_gr-28,share_gr-27,share_gr-26,share_gr-25,share_gr-24,share_gr-23,share_gr-22,share_gr-21,share_gr-20,share_gr-19,share_gr-18,share_gr-17,share_gr-16,share_gr-15,share_gr-14,share_gr-13,share_gr-12,share_gr-11,share_gr-10,share_gr-9,share_gr-8,share_gr-7,share_gr-6,share_gr-5,share_gr-4,share_gr-3,share_gr-2,share_gr-1,share_gr0,share_gr1,share_gr2,share_gr3,share_gr4,share_gr5,share_gr6,share_gr7,share_gr8,share_gr9,share_gr10,share_gr11,share_gr12,share_gr13,share_gr14,share_gr15,share_gr16,share_gr17,share_gr18,share_gr19,share_gr20,share_gr21,share_gr22,share_gr23,share_gr24,share_gr25,share_gr26,share_gr27,share_gr28,share_gr29,share_gr30,share_gr31,share_gr32,share_gr33,share_gr34,share_gr35,share_gr36,share_gr37,share_gr38,share_gr39,share_gr40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,2.108512831402036e-4,0.001350600418054985,0.0027240443623043923,0.005011630540249156,0.0069245491889882264,0.010832922465461426,0.013716221589938956,0.017792326687041355,0.021678434145042644,0.031313515754603116,0.04492780402639175,0.06859018678702845,0.09349159213809116,0.1243338789247858,0.16694858134882173,0.20966725912733272,0.26561322118143543,0.3416315136866663
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,1.452052313103208e-4,0.0010607596394384894,0.0021963444645201453,0.003391003916088083,0.005867336033068506,0.007819298095387507,0.009973233196472238,0.01298589873220115,0.0162297035229644,0.020325358409871055,0.029642748914358818,0.046090942300350005,0.0732519230285339,0.10373317057167133,0.1379555771004875,0.1892063319719116,0.22638313178180725,0.2791170950647585,0.3607903076948358,0.47555978193330783,0.7602806740013295,0.9468489598244076
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,1.6284136428374653e-4,0.0012455298260226782,0.00214623634331039,0.0035434505532257543,0.005682413395835319,0.007704346294184695,0.00954879855408744,0.012430352519819872,0.015541693744041591,0.02014829901663876,0.030402454628761174,0.04809186910401128,0.07401319336801807,0.10877717681553638,0.14470240092761888,0.1954346149757761,0.23464710836102268,0.29265142698300745,0.3731183216987277,0.5127966392751899,0.7996638920541566,0.95099512000658315,0.9948269322461815
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,1.6284136428374653e-4,0.0012717272664950327,0.0019217647982400722,0.0029949291062758843,0.004736067968468971,0.007259752059399654,0.008739915469806046,0.01195517187061504,0.014554559744350215,0.019339616525316572,0.02565423473882348,0.0436772633882481,0.06342293622902698,0.10627155812651186,0.1460761457613071,0.18777001818238773,0.23213127146665616,0.28286447644403184,0.36141732517858227,0.4939052437053608,0.7512322024298129,0.9342742806704387,0.9952064741842959,0.9985978873100207
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,1.3432105734378217e-4,0.0011776331211904999,0.0017294362689529866,0.002533950438582866,0.004063527918560159,0.006046313094990814,0.008016420796399625,0.010689113361147182,0.013207774604379337,0.017384436951931898,0.022663530120268484,0.03802202231466688,0.05731883631434799,0.10038331228337567,0.1397366058785484,0.1757685855635205,0.2224640508531716,0.2672394884796094,0.33358179445903835,0.4555531175933056,0.6758860929190237,0.9065593143430961,0.9821520368497931,0.9972329966495519,0.9999999999999999
0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,1.3432105734378217e-4,8.747176934929321e-4,0.0014466363032046355,0.002440702795566184,0.0035067861721420107,0.005177212004355662,0.007554904539575935,0.009014495136086117,0.01224803759105637,0.014746920368510774,0.022544177309540683,0.029642728855062896,0.05144104938810483,0.0859213542727135,0.1299881411047261,0.1650388360806973,0.2105544496910291,0.2504928288177558,0.31194071072299995,0.41287836967286085,0.6005971483897489,0.8442163786301549,0.9545802658123096,0.9954949990731,0.9985978873100207,0.9999999999999999
0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,1.3432105734378217e-4,1.6284136428374653e-4,0.0014071957155654753,0.0019395172751298375,0.0028591718033441843,0.004369737082647896,0.006348237593469902,0.007984875547634829,0.01117435174132662,0.013310253535378697,0.0187858876851457,0.026196056380935858,0.044072206853770377,0.06866960555143745,0.11845616822386713,0.15291553922725304,0.19701482613051627,0.23698115588017882,0.2896644734527896,0.3672272836015994,0.5303861183381634,0.7558390323665245,0.9204749453937822,0.981633644465316,0.9972329966495519,0.9990370133807378,0.9999999999999999
0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,5.396351788570272e-5,1.5195719031720788e-4,0.0012021776756789937,0.0017252037575137319,0.0026407581656419,0.0038458765341028585,0.005051488361243465,0.007419107118052394,0.009762016834146278,0.0121883531619741,0.016317872152253977,0.024013649115221372,0.03581323306295757,0.058599365599893,0.09786623171266207,0.14115481414757428,0.18101168031939793,0.22488254800815366,0.2682226025963983,0.33647209828965136,0.47077190882719433,0.6792566564125686,0.8585414600291729,0.9525149085501513,0.9928007909075479,0.9977423864220197,0.9999999999999999,0.9999999999999999
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,1.5195719031720786e-4,0.001026614705922378,0.0014596427506795777,0.002149730672659765,0.0028591718033441843,0.004355322472599324,0.005900975472327417,0.007869370109864606,0.011282575654677652,0.014425008787576361,0.02143231059595559,0.030437987665554996,0.05284921196173368,0.08071701006469557,0.13084111853330024,0.16498513734551776,0.21179760850827395,0.24436213027668607,0.3087850344429344,0.4093897893176964,0.6113423716134453,0.7989992633905589,0.9119025852228012,0.9790298997125069,0.9954949990731,0.9985978873100207,0.9999999999999999,0.9999999999999999
0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417389849752343e-5,1.5195719031720786e-4,2.448116711338453e-4,0.001300528403577886,0.0017835321781917656,0.0027736469892569483,0.0037979709235851887,0.0048911423733722465,0.007371915618469498,0.008931401508664463,0.012601065151822877,0.017839425913863012,0.02748545187527779,0.039535187278721906,0.0674104434279071,0.11402597643517362,0.15158732498344546,0.19660818809547226,0.23077486588836174,0.28432673492689947,0.35510251439583457,0.5278832116659473,0.7334298380710931,0.8529206687904058,0.9472084504903197,0.9916631159038314,0.9972329966495519,0.9996159246610075,0.9999999999999999,0.9999999999999999
