stats_type,popgrp,age_group_m3,Prov_En_1990,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,1,0_14,Anhui,0.00815903213514205,1,0.9998100458350576,-40
within-group,4,0_14,Beijing,0.00187020855252295,0.9996348560666204,0.9998100458350576,-40
within-group,7,0_14,Fujian,0.00576178991622385,1,0.9998100458350576,-40
within-group,10,0_14,Gansu,0.00347206328980528,0.9999895697740276,0.9998100458350576,-40
within-group,13,0_14,Guangdong,0.01715405353434751,1,0.9998100458350576,-40
within-group,16,0_14,Guangxi,0.00854635802776593,1,0.9998100458350576,-40
within-group,19,0_14,Guizhou,0.00666968621359777,1,0.9998100458350576,-40
within-group,22,0_14,Hainan,0.00143857438888176,1,0.9998100458350576,-40
within-group,25,0_14,Hebei,0.01047287258744416,0.9997098791980984,0.9998100458350576,-40
within-group,28,0_14,Heilongjiang,0.00234773793585919,0.9986772908838892,0.9998100458350576,-40
within-group,31,0_14,Henan,0.0158942652598008,1,0.9998100458350576,-40
within-group,34,0_14,Hubei,0.0067778895560246,1,0.9998100458350576,-40
within-group,37,0_14,Hunan,0.00922473636990096,1,0.9998100458350576,-40
within-group,40,0_14,Inner Mongolia,0.0023695344847058,0.995009154658624,0.9998100458350576,-40
within-group,43,0_14,Jiangsu,0.00900905712673314,1,0.9998100458350576,-40
within-group,46,0_14,Jiangxi,0.00716065594808189,1,0.9998100458350576,-40
within-group,49,0_14,Jilin,0.00184261845024983,0.9996782652460718,0.9998100458350576,-40
within-group,52,0_14,Liaoning,0.00341922056900947,0.9992334940953908,0.9998100458350576,-40
within-group,55,0_14,Ningxia,0.00105941200851006,1,0.9998100458350576,-40
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.999561413206004,0.9998100458350576,-40
within-group,61,0_14,Shaanxi,0.00494501940169968,0.9998867702250388,0.9998100458350576,-40
within-group,64,0_14,Shandong,0.0132681820105458,0.9999747611205824,0.9998100458350576,-40
within-group,67,0_14,Shanghai,0.00175819768793889,1,0.9998100458350576,-40
within-group,70,0_14,Shanxi,0.00408244315435452,0.9995419719700804,0.9998100458350576,-40
within-group,73,0_14,Sichuan,0.01337774208945019,0.999996110225028,0.9998100458350576,-40
within-group,76,0_14,Tianjin,0.00134811687091403,1,0.9998100458350576,-40
within-group,79,0_14,Tibet,6.44329308226729e-4,0.9997542890089428,0.9998100458350576,-40
within-group,82,0_14,Xinjiang,0.0041901189572254496,0.9998866754291504,0.9998100458350576,-40
within-group,85,0_14,Yunnan,0.006666392519298,1,0.9998100458350576,-40
within-group,88,0_14,Zhejiang,0.00606367244250025,1,0.9998100458350576,-40
within-group,1,0_14,Anhui,0.00815903213514205,1,0.999730687592375,-39
within-group,4,0_14,Beijing,0.00187020855252295,0.999582184539923,0.999730687592375,-39
within-group,7,0_14,Fujian,0.00576178991622385,1,0.999730687592375,-39
within-group,10,0_14,Gansu,0.00347206328980528,0.999976972949124,0.999730687592375,-39
within-group,13,0_14,Guangdong,0.01715405353434751,1,0.999730687592375,-39
within-group,16,0_14,Guangxi,0.00854635802776593,1,0.999730687592375,-39
within-group,19,0_14,Guizhou,0.00666968621359777,1,0.999730687592375,-39
within-group,22,0_14,Hainan,0.00143857438888176,1,0.999730687592375,-39
within-group,25,0_14,Hebei,0.01047287258744416,0.9996576482363992,0.999730687592375,-39
within-group,28,0_14,Heilongjiang,0.00234773793585919,0.9979237153882864,0.999730687592375,-39
within-group,31,0_14,Henan,0.0158942652598008,1,0.999730687592375,-39
within-group,34,0_14,Hubei,0.0067778895560246,1,0.999730687592375,-39
within-group,37,0_14,Hunan,0.00922473636990096,1,0.999730687592375,-39
within-group,40,0_14,Inner Mongolia,0.0023695344847058,0.993492220382487,0.999730687592375,-39
within-group,43,0_14,Jiangsu,0.00900905712673314,1,0.999730687592375,-39
within-group,46,0_14,Jiangxi,0.00716065594808189,1,0.999730687592375,-39
within-group,49,0_14,Jilin,0.00184261845024983,0.9991848668410672,0.999730687592375,-39
within-group,52,0_14,Liaoning,0.00341922056900947,0.9989124808666662,0.999730687592375,-39
within-group,55,0_14,Ningxia,0.00105941200851006,1,0.999730687592375,-39
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.9991858880045952,0.999730687592375,-39
within-group,61,0_14,Shaanxi,0.00494501940169968,0.9998362431272706,0.999730687592375,-39
within-group,64,0_14,Shandong,0.0132681820105458,0.9999401538373442,0.999730687592375,-39
within-group,67,0_14,Shanghai,0.00175819768793889,1,0.999730687592375,-39
within-group,70,0_14,Shanxi,0.00408244315435452,0.9993491791465144,0.999730687592375,-39
within-group,73,0_14,Sichuan,0.01337774208945019,0.9999925136091,0.999730687592375,-39
within-group,76,0_14,Tianjin,0.00134811687091403,0.999964882057548,0.999730687592375,-39
within-group,79,0_14,Tibet,6.44329308226729e-4,0.9995579317177063,0.999730687592375,-39
within-group,82,0_14,Xinjiang,0.0041901189572254496,0.9997714614292816,0.999730687592375,-39
within-group,85,0_14,Yunnan,0.006666392519298,1,0.999730687592375,-39
within-group,88,0_14,Zhejiang,0.00606367244250025,1,0.999730687592375,-39
within-group,1,0_14,Anhui,0.00815903213514205,1,0.9996220953836596,-38
