stats_type,popgrp,age_group_m3,region_name,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,1,0_14,Central,0.08262021627865404,0.9999607879335648,0.9995948140559588,-40
within-group,4,0_14,Eastern,0.09092717187924894,0.9999233601572204,0.9995948140559588,-40
within-group,7,0_14,Northeastern,0.02209274269820576,0.9976657535905916,0.9995948140559588,-40
within-group,10,0_14,Western,0.0812284486324949,0.9993913673865016,0.9995948140559588,-40
within-group,1,0_14,Central,0.08262021627865404,0.9999372980585138,0.999390133070734,-39
within-group,4,0_14,Eastern,0.09092717187924894,0.9998987313477812,0.999390133070734,-39
within-group,7,0_14,Northeastern,0.02209274269820576,0.996114339970444,0.999390133070734,-39
within-group,10,0_14,Western,0.0812284486324949,0.9991753683229796,0.999390133070734,-39
within-group,1,0_14,Central,0.08262021627865404,0.999914443436321,0.9991087516635546,-38
within-group,4,0_14,Eastern,0.09092717187924894,0.999865379511922,0.9991087516635546,-38
within-group,7,0_14,Northeastern,0.02209274269820576,0.9938439625779312,0.9991087516635546,-38
within-group,10,0_14,Western,0.0812284486324949,0.9989136361951504,0.9991087516635546,-38
within-group,1,0_14,Central,0.08262021627865404,0.999886716755349,0.9987206256810964,-37
within-group,4,0_14,Eastern,0.09092717187924894,0.999830294959415,0.9987206256810964,-37
within-group,7,0_14,Northeastern,0.02209274269820576,0.9905200713869272,0.9987206256810964,-37
within-group,10,0_14,Western,0.0812284486324949,0.998592615634476,0.9987206256810964,-37
within-group,1,0_14,Central,0.08262021627865404,0.999840674825116,0.998180996805164,-36
within-group,4,0_14,Eastern,0.09092717187924894,0.99978402110149,0.998180996805164,-36
within-group,7,0_14,Northeastern,0.02209274269820576,0.9858524158490628,0.998180996805164,-36
within-group,10,0_14,Western,0.0812284486324949,0.9981875310041848,0.998180996805164,-36
within-group,1,0_14,Central,0.08262021627865404,0.999774871323048,0.9975366289635208,-35
within-group,4,0_14,Eastern,0.09092717187924894,0.9997269013150828,0.9975366289635208,-35
within-group,7,0_14,Northeastern,0.02209274269820576,0.9804512604301076,0.9975366289635208,-35
within-group,10,0_14,Western,0.0812284486324949,0.9976677033226744,0.9975366289635208,-35
within-group,1,0_14,Central,0.08262021627865404,0.9997057970837884,0.9967663387313648,-34
within-group,4,0_14,Eastern,0.09092717187924894,0.9996261902511426,0.9967663387313648,-34
within-group,7,0_14,Northeastern,0.02209274269820576,0.9740894560525772,0.9967663387313648,-34
within-group,10,0_14,Western,0.0812284486324949,0.997056192915172,0.9967663387313648,-34
within-group,1,0_14,Central,0.08262021627865404,0.9996102782313472,0.9958653863417402,-33
within-group,4,0_14,Eastern,0.09092717187924894,0.9995051991241156,0.9958653863417402,-33
within-group,7,0_14,Northeastern,0.02209274269820576,0.9666685254088984,0.9958653863417402,-33
within-group,10,0_14,Western,0.0812284486324949,0.9963424302441498,0.9958653863417402,-33
within-group,1,0_14,Central,0.08262021627865404,0.9994962900032872,0.9948433866105896,-32
within-group,4,0_14,Eastern,0.09092717187924894,0.9993564591969084,0.9948433866105896,-32
within-group,7,0_14,Northeastern,0.02209274269820576,0.9584409546164212,0.9948433866105896,-32
within-group,10,0_14,Western,0.0812284486324949,0.9955000794874942,0.9948433866105896,-32
within-group,1,0_14,Central,0.08262021627865404,0.999356843358073,0.9936650563287308,-31
within-group,4,0_14,Eastern,0.09092717187924894,0.9991609881992498,0.9936650563287308,-31
within-group,7,0_14,Northeastern,0.02209274269820576,0.9490740532505406,0.9936650563287308,-31
within-group,10,0_14,Western,0.0812284486324949,0.994527675963452,0.9936650563287308,-31
within-group,1,0_14,Central,0.08262021627865404,0.9991776604285864,0.9923970941765122,-30
within-group,4,0_14,Eastern,0.09092717187924894,0.9989383565430804,0.9923970941765122,-30
within-group,7,0_14,Northeastern,0.02209274269820576,0.939227776601835,0.9923970941765122,-30
within-group,10,0_14,Western,0.0812284486324949,0.9934654917059867,0.9923970941765122,-30
within-group,1,0_14,Central,0.08262021627865404,0.9989409318967492,0.9910349480388232,-29
within-group,4,0_14,Eastern,0.09092717187924894,0.9986845703853588,0.9910349480388232,-29
within-group,7,0_14,Northeastern,0.02209274269820576,0.9290411292966344,0.9910349480388232,-29
within-group,10,0_14,Western,0.0812284486324949,0.9922736669176594,0.9910349480388232,-29
within-group,1,0_14,Central,0.08262021627865404,0.9986396548465372,0.9895615005655104,-28
within-group,4,0_14,Eastern,0.09092717187924894,0.9983953514295532,0.9895615005655104,-28
within-group,7,0_14,Northeastern,0.02209274269820576,0.9183218885672612,0.9895615005655104,-28
within-group,10,0_14,Western,0.0812284486324949,0.9909561447266594,0.9895615005655104,-28
within-group,1,0_14,Central,0.08262021627865404,0.9982872838740636,0.9879850529392152,-27
within-group,4,0_14,Eastern,0.09092717187924894,0.9980615681542274,0.9879850529392152,-27
within-group,7,0_14,Northeastern,0.02209274269820576,0.907417788389078,0.9879850529392152,-27
within-group,10,0_14,Western,0.0812284486324949,0.9894713989704624,0.9879850529392152,-27
within-group,1,0_14,Central,0.08262021627865404,0.997906222278528,0.9863019547382575,-26
within-group,4,0_14,Eastern,0.09092717187924894,0.9976496765410054,0.9863019547382575,-26
within-group,7,0_14,Northeastern,0.02209274269820576,0.8962284546384724,0.9863019547382575,-26
within-group,10,0_14,Western,0.0812284486324949,0.9878149758717996,0.9863019547382575,-26
within-group,1,0_14,Central,0.08262021627865404,0.997452606258226,0.9845161595673136,-25
within-group,4,0_14,Eastern,0.09092717187924894,0.9971770884200865,0.9845161595673136,-25
within-group,7,0_14,Northeastern,0.02209274269820576,0.8848561981388939,0.9845161595673136,-25
within-group,10,0_14,Western,0.0812284486324949,0.9859992547353588,0.9845161595673136,-25
within-group,1,0_14,Central,0.08262021627865404,0.9969463699312257,0.9825747959064828,-24
within-group,4,0_14,Eastern,0.09092717187924894,0.9965698926190372,0.9825747959064828,-24
within-group,7,0_14,Northeastern,0.02209274269820576,0.8730443794691328,0.9825747959064828,-24
within-group,10,0_14,Western,0.0812284486324949,0.983986823375098,0.9825747959064828,-24
within-group,1,0_14,Central,0.08262021627865404,0.9963901949947122,0.9804746931098116,-23
within-group,4,0_14,Eastern,0.09092717187924894,0.9958231797425566,0.9804746931098116,-23
within-group,7,0_14,Northeastern,0.02209274269820576,0.8609327012859788,0.9804746931098116,-23
within-group,10,0_14,Western,0.0812284486324949,0.981736092426858,0.9804746931098116,-23
within-group,1,0_14,Central,0.08262021627865404,0.9956962053899566,0.9782229485408652,-22
within-group,4,0_14,Eastern,0.09092717187924894,0.9948897324968268,0.9782229485408652,-22
within-group,7,0_14,Northeastern,0.02209274269820576,0.8489493232714651,0.9782229485408652,-22
within-group,10,0_14,Western,0.0812284486324949,0.9792701912055974,0.9782229485408652,-22
within-group,1,0_14,Central,0.08262021627865404,0.9947967848063476,0.9757379922225636,-21
within-group,4,0_14,Eastern,0.09092717187924894,0.9937598123905146,0.9757379922225636,-21
within-group,7,0_14,Northeastern,0.02209274269820576,0.8364616424219401,0.9757379922225636,-21
within-group,10,0_14,Western,0.0812284486324949,0.9765753125245378,0.9757379922225636,-21
within-group,1,0_14,Central,0.08262021627865404,0.9937443546853536,0.9729836959967196,-20
within-group,4,0_14,Eastern,0.09092717187924894,0.9922416788237444,0.9729836959967196,-20
within-group,7,0_14,Northeastern,0.02209274269820576,0.8237232409278966,0.9729836959967196,-20
within-group,10,0_14,Western,0.0812284486324949,0.9736307450646065,0.9729836959967196,-20
within-group,1,0_14,Central,0.08262021627865404,0.992453210226752,0.9699421090184216,-19
within-group,4,0_14,Eastern,0.09092717187924894,0.990312768811425,0.9699421090184216,-19
within-group,7,0_14,Northeastern,0.02209274269820576,0.8108141609972424,0.9699421090184216,-19
within-group,10,0_14,Western,0.0812284486324949,0.9704460066366416,0.9699421090184216,-19
