stats_type,popgrp,age_group_m3,region_name,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,1,0_14,Central,0.0826502174156943,0.999949574628254,0.999579736211988,-40
within-group,4,0_14,Eastern,0.09088950033559848,0.9998406073035748,0.999579736211988,-40
within-group,7,0_14,Northeastern,0.02210076503742415,0.9979220539111004,0.999579736211988,-40
within-group,10,0_14,Western,0.08125534190741358,0.9994116120846152,0.999579736211988,-40
within-group,1,0_14,Central,0.0826502174156943,0.9999375568163704,0.9994249678368126,-39
within-group,4,0_14,Eastern,0.09088950033559848,0.9998036123739285,0.9994249678368126,-39
within-group,7,0_14,Northeastern,0.02210076503742415,0.996873209377616,0.9994249678368126,-39
within-group,10,0_14,Western,0.08125534190741358,0.9992348785098522,0.9994249678368126,-39
within-group,1,0_14,Central,0.0826502174156943,0.9999195536165622,0.9992215203732978,-38
within-group,4,0_14,Eastern,0.09088950033559848,0.9997576974653024,0.9992215203732978,-38
within-group,7,0_14,Northeastern,0.02210076503742415,0.9954457196463472,0.9992215203732978,-38
within-group,10,0_14,Western,0.08125534190741358,0.9990179142402014,0.9992215203732978,-38
within-group,1,0_14,Central,0.0826502174156943,0.9998972325520666,0.998954561492971,-37
within-group,4,0_14,Eastern,0.09088950033559848,0.9997049602665494,0.998954561492971,-37
within-group,7,0_14,Northeastern,0.02210076503742415,0.993470062467118,0.998954561492971,-37
within-group,10,0_14,Western,0.08125534190741358,0.9987485613399142,0.998954561492971,-37
within-group,1,0_14,Central,0.0826502174156943,0.9998695856660637,0.998614929866852,-36
within-group,4,0_14,Eastern,0.09088950033559848,0.9996396782096388,0.998614929866852,-36
within-group,7,0_14,Northeastern,0.02210076503742415,0.9908884487080424,0.998614929866852,-36
within-group,10,0_14,Western,0.08125534190741358,0.9984193409519664,0.998614929866852,-36
within-group,1,0_14,Central,0.0826502174156943,0.9998353038557634,0.9982066277547949,-35
within-group,4,0_14,Eastern,0.09088950033559848,0.9995614542323552,0.9982066277547949,-35
within-group,7,0_14,Northeastern,0.02210076503742415,0.9877595737136872,0.9982066277547949,-35
within-group,10,0_14,Western,0.08125534190741358,0.9980241970639068,0.9982066277547949,-35
within-group,1,0_14,Central,0.0826502174156943,0.9997965940713008,0.997710090358201,-34
within-group,4,0_14,Eastern,0.09088950033559848,0.9994632621152664,0.997710090358201,-34
within-group,7,0_14,Northeastern,0.02210076503742415,0.9839372372940124,0.997710090358201,-34
within-group,10,0_14,Western,0.08125534190741358,0.9975530472347448,0.997710090358201,-34
within-group,1,0_14,Central,0.0826502174156943,0.9997452451482356,0.9970989430520496,-33
within-group,4,0_14,Eastern,0.09088950033559848,0.9993510961362188,0.9970989430520496,-33
within-group,7,0_14,Northeastern,0.02210076503742415,0.9791979892926608,0.9970989430520496,-33
within-group,10,0_14,Western,0.08125534190741358,0.996985987635204,0.9970989430520496,-33
within-group,1,0_14,Central,0.0826502174156943,0.9996772620023338,0.9963641080739444,-32
within-group,4,0_14,Eastern,0.09088950033559848,0.9992064504207944,0.9963641080739444,-32
within-group,7,0_14,Northeastern,0.02210076503742415,0.973569989902368,0.9963641080739444,-32
within-group,10,0_14,Western,0.08125534190741358,0.9963045437864572,0.9963641080739444,-32
within-group,1,0_14,Central,0.0826502174156943,0.9996014499440738,0.9955122129879714,-31
within-group,4,0_14,Eastern,0.09088950033559848,0.9990423152804868,0.9955122129879714,-31
within-group,7,0_14,Northeastern,0.02210076503742415,0.9669941125245226,0.9955122129879714,-31
within-group,10,0_14,Western,0.08125534190741358,0.9955151538973336,0.9955122129879714,-31
within-group,1,0_14,Central,0.0826502174156943,0.9995140040306556,0.9945311293289876,-30
within-group,4,0_14,Eastern,0.09088950033559848,0.9988435348763284,0.9945311293289876,-30
within-group,7,0_14,Northeastern,0.02210076503742415,0.9595260050750636,0.9945311293289876,-30
within-group,10,0_14,Western,0.08125534190741358,0.9945944350866583,0.9945311293289876,-30
within-group,1,0_14,Central,0.0826502174156943,0.9993925493739098,0.9933993683441572,-29
within-group,4,0_14,Eastern,0.09088950033559848,0.9986066143629748,0.9933993683441572,-29
within-group,7,0_14,Northeastern,0.02210076503742415,0.951063518260943,0.9933993683441572,-29
within-group,10,0_14,Western,0.08125534190741358,0.9935255710242872,0.9933993683441572,-29
within-group,1,0_14,Central,0.0826502174156943,0.9992325879171678,0.9921075653379888,-28
within-group,4,0_14,Eastern,0.09088950033559848,0.9983252281821604,0.9921075653379888,-28
within-group,7,0_14,Northeastern,0.02210076503742415,0.9416165423738206,0.9921075653379888,-28
within-group,10,0_14,Western,0.08125534190741358,0.9922900386141116,0.9921075653379888,-28
within-group,1,0_14,Central,0.0826502174156943,0.9990437321286084,0.9906621055566768,-27
within-group,4,0_14,Eastern,0.09088950033559848,0.9979907322579532,0.9906621055566768,-27
within-group,7,0_14,Northeastern,0.02210076503742415,0.931271350986745,0.9906621055566768,-27
within-group,10,0_14,Western,0.08125534190741358,0.9908811439714472,0.9906621055566768,-27
within-group,1,0_14,Central,0.0826502174156943,0.9988129753239652,0.98908424473237,-26
within-group,4,0_14,Eastern,0.09088950033559848,0.9975919675563416,0.98908424473237,-26
within-group,7,0_14,Northeastern,0.02210076503742415,0.9203239733399172,0.98908424473237,-26
within-group,10,0_14,Western,0.08125534190741358,0.9893128277421164,0.98908424473237,-26
within-group,1,0_14,Central,0.0826502174156943,0.9985318221928632,0.987368605799599,-25
within-group,4,0_14,Eastern,0.09088950033559848,0.997106637950384,0.987368605799599,-25
within-group,7,0_14,Northeastern,0.02210076503742415,0.9088926443416696,0.987368605799599,-25
within-group,10,0_14,Western,0.08125534190741358,0.9875775550711192,0.987368605799599,-25
within-group,1,0_14,Central,0.0826502174156943,0.9982019107130122,0.9855318685297793,-24
within-group,4,0_14,Eastern,0.09088950033559848,0.9965002087170368,0.9855318685297793,-24
within-group,7,0_14,Northeastern,0.02210076503742415,0.897350519519035,0.9855318685297793,-24
within-group,10,0_14,Western,0.08125534190741358,0.9856515718296028,0.9855318685297793,-24
within-group,1,0_14,Central,0.0826502174156943,0.9978078029522084,0.9835431181100864,-23
within-group,4,0_14,Eastern,0.09088950033559848,0.9957315866831884,0.9835431181100864,-23
within-group,7,0_14,Northeastern,0.02210076503742415,0.885657856647632,0.9835431181100864,-23
within-group,10,0_14,Western,0.08125534190741358,0.98351251241411,0.9835431181100864,-23
within-group,1,0_14,Central,0.0826502174156943,0.9973053964932792,0.98140617076323,-22
within-group,4,0_14,Eastern,0.09088950033559848,0.9948395331569364,0.98140617076323,-22
within-group,7,0_14,Northeastern,0.02210076503742415,0.8736988693615205,0.98140617076323,-22
within-group,10,0_14,Western,0.08125534190741358,0.9811906224033554,0.98140617076323,-22
within-group,1,0_14,Central,0.0826502174156943,0.996677443789702,0.979104516673288,-21
within-group,4,0_14,Eastern,0.09088950033559848,0.99376381594064,0.979104516673288,-21
within-group,7,0_14,Northeastern,0.02210076503742415,0.8615813489710434,0.979104516673288,-21
within-group,10,0_14,Western,0.08125534190741358,0.9786871069637813,0.979104516673288,-21
within-group,1,0_14,Central,0.0826502174156943,0.9959195785641792,0.9766216559053512,-20
within-group,4,0_14,Eastern,0.09088950033559848,0.99246108606025,0.9766216559053512,-20
within-group,7,0_14,Northeastern,0.02210076503742415,0.8493485316156262,0.9766216559053512,-20
within-group,10,0_14,Western,0.08125534190741358,0.9759829399796762,0.9766216559053512,-20
within-group,1,0_14,Central,0.0826502174156943,0.9949992044544556,0.9738810959715144,-19
within-group,4,0_14,Eastern,0.09088950033559848,0.9908316865767856,0.9738810959715144,-19
within-group,7,0_14,Northeastern,0.02210076503742415,0.8367949225897799,0.9738810959715144,-19
within-group,10,0_14,Western,0.08125534190741358,0.9730486164371176,0.9738810959715144,-19
within-group,1,0_14,Central,0.0826502174156943,0.9938809257409376,0.970860741629609,-18
within-group,4,0_14,Eastern,0.09088950033559848,0.9888347486548053,0.970860741629609,-18
within-group,7,0_14,Northeastern,0.02210076503742415,0.8237632376974435,0.970860741629609,-18
within-group,10,0_14,Western,0.08125534190741358,0.9698919973522468,0.970860741629609,-18
within-group,1,0_14,Central,0.0826502174156943,0.9924970996956206,0.9674548818230484,-17
within-group,4,0_14,Eastern,0.09088950033559848,0.986324286313236,0.9674548818230484,-17
within-group,7,0_14,Northeastern,0.02210076503742415,0.8101464131836748,0.9674548818230484,-17
within-group,10,0_14,Western,0.08125534190741358,0.9664403807878984,0.9674548818230484,-17
within-group,1,0_14,Central,0.0826502174156943,0.9907934638741946,0.9636079405881556,-16
within-group,4,0_14,Eastern,0.09088950033559848,0.9831640554369432,0.9636079405881556,-16
within-group,7,0_14,Northeastern,0.02210076503742415,0.7959723886663684,0.9636079405881556,-16
within-group,10,0_14,Western,0.08125534190741358,0.962718724033038,0.9636079405881556,-16
within-group,1,0_14,Central,0.0826502174156943,0.9886833408933434,0.9592419205176752,-15
within-group,4,0_14,Eastern,0.09088950033559848,0.9792236965627986,0.9592419205176752,-15
within-group,7,0_14,Northeastern,0.02210076503742415,0.781074193006229,0.9592419205176752,-15
within-group,10,0_14,Western,0.08125534190741358,0.9587272283156278,0.9592419205176752,-15
