stats_type,popgrp,age_group_m3,Prov_En,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,1,0_14,Anhui,0.01410859002896082,1,0.9990340711049556,-40
within-group,4,0_14,Beijing,0.00192930046313546,1,0.9990340711049556,-40
within-group,7,0_14,Fujian,0.00836499261741459,1,0.9990340711049556,-40
within-group,10,0_14,Gansu,0.00553588132726672,0.9999456015757644,0.9990340711049556,-40
within-group,13,0_14,Guangdong,0.01662764777845244,1,0.9990340711049556,-40
within-group,16,0_14,Guangxi,0.01247369584553776,1,0.9990340711049556,-40
within-group,19,0_14,Guizhou,0.00936294712703839,1,0.9990340711049556,-40
within-group,22,0_14,Hainan,0.00191883150879834,1,0.9990340711049556,-40
within-group,25,0_14,Hebei,0.01568965512254203,0.9993746621786606,0.9990340711049556,-40
within-group,28,0_14,Heilongjiang,0.00828162665775682,0.9850724792368536,0.9990340711049556,-40
within-group,31,0_14,Henan,0.02215767763694521,1,0.9990340711049556,-40
within-group,34,0_14,Hubei,0.01358416131756542,1,0.9990340711049556,-40
within-group,37,0_14,Hunan,0.01500601692425047,1,0.9990340711049556,-40
within-group,40,0_14,Jiangsu,0.01408569897696787,1,0.9990340711049556,-40
within-group,43,0_14,Jiangxi,0.0106032824765449,1,0.9990340711049556,-40
within-group,46,0_14,Jilin,0.0057061550879989,0.9935004504024548,0.9990340711049556,-40
within-group,49,0_14,Liaoning,0.00810496095245003,0.9968405596823946,0.9990340711049556,-40
within-group,52,0_14,Neimenggu,0.00539920110087013,0.9896678668738236,0.9990340711049556,-40
within-group,55,0_14,Ningxia,0.00138936690749664,0.9998693646669048,0.9990340711049556,-40
within-group,58,0_14,Qinghai,0.00121246590503282,0.9995023612253836,0.9990340711049556,-40
within-group,61,0_14,Shaanxi,0.00839880110366433,0.9998964167603932,0.9990340711049556,-40
within-group,64,0_14,Shandong,0.01985728082783897,0.9999970051414716,0.9990340711049556,-40
within-group,67,0_14,Shanghai,0.00215114145344414,1,0.9990340711049556,-40
within-group,70,0_14,Shanxi,0.0071604878943872,0.9998375388691002,0.9990340711049556,-40
within-group,73,0_14,Sichuan,0.02198023969698392,0.999998970733225,0.9990340711049556,-40
within-group,76,0_14,Tianjin,0.00176456591592749,1,0.9990340711049556,-40
within-group,79,0_14,Xinjiang,0.00443144600832027,0.999762038078361,0.9990340711049556,-40
within-group,82,0_14,Xizang,6.912305121974087e-4,0.9999540479776424,0.9990340711049556,-40
within-group,85,0_14,Yunnan,0.01035317309808648,1,0.9990340711049556,-40
within-group,88,0_14,Zhejiang,0.00853805721472757,1,0.9990340711049556,-40
within-group,1,0_14,Anhui,0.01410859002896082,1,0.998710583358364,-39
within-group,4,0_14,Beijing,0.00192930046313546,0.9999709874869348,0.998710583358364,-39
within-group,7,0_14,Fujian,0.00836499261741459,1,0.998710583358364,-39
within-group,10,0_14,Gansu,0.00553588132726672,0.9999054604255015,0.998710583358364,-39
within-group,13,0_14,Guangdong,0.01662764777845244,1,0.998710583358364,-39
within-group,16,0_14,Guangxi,0.01247369584553776,1,0.998710583358364,-39
within-group,19,0_14,Guizhou,0.00936294712703839,1,0.998710583358364,-39
within-group,22,0_14,Hainan,0.00191883150879834,1,0.998710583358364,-39
within-group,25,0_14,Hebei,0.01568965512254203,0.9992156247210742,0.998710583358364,-39
within-group,28,0_14,Heilongjiang,0.00828162665775682,0.980183031044268,0.998710583358364,-39
within-group,31,0_14,Henan,0.02215767763694521,1,0.998710583358364,-39
within-group,34,0_14,Hubei,0.01358416131756542,1,0.998710583358364,-39
within-group,37,0_14,Hunan,0.01500601692425047,1,0.998710583358364,-39
within-group,40,0_14,Jiangsu,0.01408569897696787,1,0.998710583358364,-39
within-group,43,0_14,Jiangxi,0.0106032824765449,1,0.998710583358364,-39
within-group,46,0_14,Jilin,0.0057061550879989,0.9905853994571528,0.998710583358364,-39
within-group,49,0_14,Liaoning,0.00810496095245003,0.9958133008655164,0.998710583358364,-39
within-group,52,0_14,Neimenggu,0.00539920110087013,0.9868505883136988,0.998710583358364,-39
within-group,55,0_14,Ningxia,0.00138936690749664,0.999809088583098,0.998710583358364,-39
within-group,58,0_14,Qinghai,0.00121246590503282,0.9990466428524492,0.998710583358364,-39
within-group,61,0_14,Shaanxi,0.00839880110366433,0.9998657569121996,0.998710583358364,-39
within-group,64,0_14,Shandong,0.01985728082783897,0.9999959392758918,0.998710583358364,-39
within-group,67,0_14,Shanghai,0.00215114145344414,1,0.998710583358364,-39
within-group,70,0_14,Shanxi,0.0071604878943872,0.9997330944535636,0.998710583358364,-39
within-group,73,0_14,Sichuan,0.02198023969698392,0.999997790321232,0.998710583358364,-39
within-group,76,0_14,Tianjin,0.00176456591592749,1,0.998710583358364,-39
within-group,79,0_14,Xinjiang,0.00443144600832027,0.9995821400340236,0.998710583358364,-39
within-group,82,0_14,Xizang,6.912305121974087e-4,0.9998429466503852,0.998710583358364,-39
within-group,85,0_14,Yunnan,0.01035317309808648,1,0.998710583358364,-39
within-group,88,0_14,Zhejiang,0.00853805721472757,1,0.998710583358364,-39
within-group,1,0_14,Anhui,0.01410859002896082,1,0.9983271809102904,-38
within-group,4,0_14,Beijing,0.00192930046313546,0.9999419749738696,0.9983271809102904,-38
within-group,7,0_14,Fujian,0.00836499261741459,1,0.9983271809102904,-38
within-group,10,0_14,Gansu,0.00553588132726672,0.9998409052253328,0.9983271809102904,-38
within-group,13,0_14,Guangdong,0.01662764777845244,1,0.9983271809102904,-38
within-group,16,0_14,Guangxi,0.01247369584553776,1,0.9983271809102904,-38
within-group,19,0_14,Guizhou,0.00936294712703839,1,0.9983271809102904,-38
within-group,22,0_14,Hainan,0.00191883150879834,1,0.9983271809102904,-38
within-group,25,0_14,Hebei,0.01568965512254203,0.9990212021094624,0.9983271809102904,-38
within-group,28,0_14,Heilongjiang,0.00828162665775682,0.9744204555408684,0.9983271809102904,-38
within-group,31,0_14,Henan,0.02215767763694521,1,0.9983271809102904,-38
within-group,34,0_14,Hubei,0.01358416131756542,1,0.9983271809102904,-38
within-group,37,0_14,Hunan,0.01500601692425047,1,0.9983271809102904,-38
within-group,40,0_14,Jiangsu,0.01408569897696787,1,0.9983271809102904,-38
within-group,43,0_14,Jiangxi,0.0106032824765449,1,0.9983271809102904,-38
within-group,46,0_14,Jilin,0.0057061550879989,0.9873379906626544,0.9983271809102904,-38
within-group,49,0_14,Liaoning,0.00810496095245003,0.9945235998546114,0.9983271809102904,-38
within-group,52,0_14,Neimenggu,0.00539920110087013,0.9834412955443024,0.9983271809102904,-38
within-group,55,0_14,Ningxia,0.00138936690749664,0.999619935873062,0.9983271809102904,-38
within-group,58,0_14,Qinghai,0.00121246590503282,0.998316796635461,0.9983271809102904,-38
within-group,61,0_14,Shaanxi,0.00839880110366433,0.9998313557159856,0.9983271809102904,-38
within-group,64,0_14,Shandong,0.01985728082783897,0.9999938669250396,0.9983271809102904,-38
within-group,67,0_14,Shanghai,0.00215114145344414,1,0.9983271809102904,-38
within-group,70,0_14,Shanxi,0.0071604878943872,0.9996059660657752,0.9983271809102904,-38
within-group,73,0_14,Sichuan,0.02198023969698392,0.9999951151381636,0.9983271809102904,-38
within-group,76,0_14,Tianjin,0.00176456591592749,1,0.9983271809102904,-38
within-group,79,0_14,Xinjiang,0.00443144600832027,0.9993466028449012,0.9983271809102904,-38
within-group,82,0_14,Xizang,6.912305121974087e-4,0.9996129186172192,0.9983271809102904,-38
within-group,85,0_14,Yunnan,0.01035317309808648,1,0.9983271809102904,-38
within-group,88,0_14,Zhejiang,0.00853805721472757,1,0.9983271809102904,-38
within-group,1,0_14,Anhui,0.01410859002896082,1,0.9978616941344132,-37
within-group,4,0_14,Beijing,0.00192930046313546,0.9999063273594874,0.9978616941344132,-37
within-group,7,0_14,Fujian,0.00836499261741459,1,0.9978616941344132,-37
within-group,10,0_14,Gansu,0.00553588132726672,0.9997018531811976,0.9978616941344132,-37
within-group,13,0_14,Guangdong,0.01662764777845244,1,0.9978616941344132,-37
within-group,16,0_14,Guangxi,0.01247369584553776,1,0.9978616941344132,-37
within-group,19,0_14,Guizhou,0.00936294712703839,1,0.9978616941344132,-37
within-group,22,0_14,Hainan,0.00191883150879834,1,0.9978616941344132,-37
within-group,25,0_14,Hebei,0.01568965512254203,0.998767819013958,0.9978616941344132,-37
within-group,28,0_14,Heilongjiang,0.00828162665775682,0.9683179679893033,0.9978616941344132,-37
within-group,31,0_14,Henan,0.02215767763694521,1,0.9978616941344132,-37
within-group,34,0_14,Hubei,0.01358416131756542,1,0.9978616941344132,-37
within-group,37,0_14,Hunan,0.01500601692425047,1,0.9978616941344132,-37
within-group,40,0_14,Jiangsu,0.01408569897696787,1,0.9978616941344132,-37
within-group,43,0_14,Jiangxi,0.0106032824765449,1,0.9978616941344132,-37
within-group,46,0_14,Jilin,0.0057061550879989,0.9831337773597394,0.9978616941344132,-37
within-group,49,0_14,Liaoning,0.00810496095245003,0.9926499779781308,0.9978616941344132,-37
within-group,52,0_14,Neimenggu,0.00539920110087013,0.9791392633340404,0.9978616941344132,-37
within-group,55,0_14,Ningxia,0.00138936690749664,0.9993172726547804,0.9978616941344132,-37
within-group,58,0_14,Qinghai,0.00121246590503282,0.997203446490426,0.9978616941344132,-37
within-group,61,0_14,Shaanxi,0.00839880110366433,0.999791753336424,0.9978616941344132,-37
within-group,64,0_14,Shandong,0.01985728082783897,0.9999792532722878,0.9978616941344132,-37
within-group,67,0_14,Shanghai,0.00215114145344414,1,0.9978616941344132,-37
within-group,70,0_14,Shanxi,0.0071604878943872,0.9993869143797685,0.9978616941344132,-37
within-group,73,0_14,Sichuan,0.02198023969698392,0.9999915301527652,0.9978616941344132,-37
within-group,76,0_14,Tianjin,0.00176456591592749,1,0.9978616941344132,-37
within-group,79,0_14,Xinjiang,0.00443144600832027,0.9989677907591624,0.9978616941344132,-37
within-group,82,0_14,Xizang,6.912305121974087e-4,0.9990454747249518,0.9978616941344132,-37
within-group,85,0_14,Yunnan,0.01035317309808648,1,0.9978616941344132,-37
within-group,88,0_14,Zhejiang,0.00853805721472757,1,0.9978616941344132,-37
within-group,1,0_14,Anhui,0.01410859002896082,1,0.997312821796033,-36
within-group,4,0_14,Beijing,0.00192930046313546,0.9997853816105168,0.997312821796033,-36
within-group,7,0_14,Fujian,0.00836499261741459,1,0.997312821796033,-36
within-group,10,0_14,Gansu,0.00553588132726672,0.999510547887032,0.997312821796033,-36
within-group,13,0_14,Guangdong,0.01662764777845244,1,0.997312821796033,-36
within-group,16,0_14,Guangxi,0.01247369584553776,1,0.997312821796033,-36
within-group,19,0_14,Guizhou,0.00936294712703839,1,0.997312821796033,-36
within-group,22,0_14,Hainan,0.00191883150879834,1,0.997312821796033,-36
within-group,25,0_14,Hebei,0.01568965512254203,0.998470355814159,0.997312821796033,-36
within-group,28,0_14,Heilongjiang,0.00828162665775682,0.9612248616518672,0.997312821796033,-36
within-group,31,0_14,Henan,0.02215767763694521,1,0.997312821796033,-36
within-group,34,0_14,Hubei,0.01358416131756542,1,0.997312821796033,-36
within-group,37,0_14,Hunan,0.01500601692425047,1,0.997312821796033,-36
within-group,40,0_14,Jiangsu,0.01408569897696787,1,0.997312821796033,-36
within-group,43,0_14,Jiangxi,0.0106032824765449,1,0.997312821796033,-36
within-group,46,0_14,Jilin,0.0057061550879989,0.9784138695181532,0.997312821796033,-36
within-group,49,0_14,Liaoning,0.00810496095245003,0.9903411964771628,0.997312821796033,-36
within-group,52,0_14,Neimenggu,0.00539920110087013,0.9741982962279234,0.997312821796033,-36
within-group,55,0_14,Ningxia,0.00138936690749664,0.9988784629361912,0.997312821796033,-36
within-group,58,0_14,Qinghai,0.00121246590503282,0.9955736802843448,0.997312821796033,-36
within-group,61,0_14,Shaanxi,0.00839880110366433,0.9997343835033272,0.997312821796033,-36
within-group,64,0_14,Shandong,0.01985728082783897,0.9999589909540384,0.997312821796033,-36
within-group,67,0_14,Shanghai,0.00215114145344414,1,0.997312821796033,-36
within-group,70,0_14,Shanxi,0.0071604878943872,0.9991288892863166,0.997312821796033,-36
within-group,73,0_14,Sichuan,0.02198023969698392,0.9999834271473784,0.997312821796033,-36
within-group,76,0_14,Tianjin,0.00176456591592749,1,0.997312821796033,-36
within-group,79,0_14,Xinjiang,0.00443144600832027,0.9983454028997886,0.997312821796033,-36
within-group,82,0_14,Xizang,6.912305121974087e-4,0.9981362253871264,0.997312821796033,-36
within-group,85,0_14,Yunnan,0.01035317309808648,1,0.997312821796033,-36
within-group,88,0_14,Zhejiang,0.00853805721472757,1,0.997312821796033,-36
within-group,1,0_14,Anhui,0.01410859002896082,1,0.996665021457849,-35
within-group,4,0_14,Beijing,0.00192930046313546,0.99940019898374155,0.996665021457849,-35
within-group,7,0_14,Fujian,0.00836499261741459,1,0.996665021457849,-35
within-group,10,0_14,Gansu,0.00553588132726672,0.9992238773844976,0.996665021457849,-35
within-group,13,0_14,Guangdong,0.01662764777845244,1,0.996665021457849,-35
within-group,16,0_14,Guangxi,0.01247369584553776,1,0.996665021457849,-35
within-group,19,0_14,Guizhou,0.00936294712703839,1,0.996665021457849,-35
within-group,22,0_14,Hainan,0.00191883150879834,1,0.996665021457849,-35
within-group,25,0_14,Hebei,0.01568965512254203,0.9981380222455776,0.996665021457849,-35
within-group,28,0_14,Heilongjiang,0.00828162665775682,0.9529772003758632,0.996665021457849,-35
within-group,31,0_14,Henan,0.02215767763694521,0.9999968939970016,0.996665021457849,-35
within-group,34,0_14,Hubei,0.01358416131756542,1,0.996665021457849,-35
within-group,37,0_14,Hunan,0.01500601692425047,1,0.996665021457849,-35
within-group,40,0_14,Jiangsu,0.01408569897696787,1,0.996665021457849,-35
within-group,43,0_14,Jiangxi,0.0106032824765449,1,0.996665021457849,-35
within-group,46,0_14,Jilin,0.0057061550879989,0.9728977538381892,0.996665021457849,-35
within-group,49,0_14,Liaoning,0.00810496095245003,0.98755291804441,0.996665021457849,-35
within-group,52,0_14,Neimenggu,0.00539920110087013,0.9687450629780902,0.996665021457849,-35
within-group,55,0_14,Ningxia,0.00138936690749664,0.9984913512628172,0.996665021457849,-35
within-group,58,0_14,Qinghai,0.00121246590503282,0.9934211267937596,0.996665021457849,-35
within-group,61,0_14,Shaanxi,0.00839880110366433,0.9996470599701862,0.996665021457849,-35
within-group,64,0_14,Shandong,0.01985728082783897,0.9999387515498648,0.996665021457849,-35
within-group,67,0_14,Shanghai,0.00215114145344414,1,0.996665021457849,-35
within-group,70,0_14,Shanxi,0.0071604878943872,0.9987013442667582,0.996665021457849,-35
within-group,73,0_14,Sichuan,0.02198023969698392,0.999967249514234,0.996665021457849,-35
within-group,76,0_14,Tianjin,0.00176456591592749,0.9999750813011437,0.996665021457849,-35
within-group,79,0_14,Xinjiang,0.00443144600832027,0.9974584918738432,0.996665021457849,-35
within-group,82,0_14,Xizang,6.912305121974087e-4,0.9966964227686916,0.996665021457849,-35
within-group,85,0_14,Yunnan,0.01035317309808648,1,0.996665021457849,-35
within-group,88,0_14,Zhejiang,0.00853805721472757,1,0.996665021457849,-35
within-group,1,0_14,Anhui,0.01410859002896082,1,0.9959291403587892,-34
within-group,4,0_14,Beijing,0.00192930046313546,0.9984383560220196,0.9959291403587892,-34
within-group,7,0_14,Fujian,0.00836499261741459,1,0.9959291403587892,-34
within-group,10,0_14,Gansu,0.00553588132726672,0.9988337070558306,0.9959291403587892,-34
within-group,13,0_14,Guangdong,0.01662764777845244,1,0.9959291403587892,-34
within-group,16,0_14,Guangxi,0.01247369584553776,1,0.9959291403587892,-34
within-group,19,0_14,Guizhou,0.00936294712703839,1,0.9959291403587892,-34
within-group,22,0_14,Hainan,0.00191883150879834,1,0.9959291403587892,-34
within-group,25,0_14,Hebei,0.01568965512254203,0.997749925911472,0.9959291403587892,-34
within-group,28,0_14,Heilongjiang,0.00828162665775682,0.9438518227451648,0.9959291403587892,-34
within-group,31,0_14,Henan,0.02215767763694521,0.999994823328336,0.9959291403587892,-34
within-group,34,0_14,Hubei,0.01358416131756542,1,0.9959291403587892,-34
within-group,37,0_14,Hunan,0.01500601692425047,1,0.9959291403587892,-34
within-group,40,0_14,Jiangsu,0.01408569897696787,1,0.9959291403587892,-34
within-group,43,0_14,Jiangxi,0.0106032824765449,1,0.9959291403587892,-34
within-group,46,0_14,Jilin,0.0057061550879989,0.966809688235284,0.9959291403587892,-34
within-group,49,0_14,Liaoning,0.00810496095245003,0.984381435792669,0.9959291403587892,-34
within-group,52,0_14,Neimenggu,0.00539920110087013,0.9626854885413872,0.9959291403587892,-34
within-group,55,0_14,Ningxia,0.00138936690749664,0.9977650817864396,0.9959291403587892,-34
within-group,58,0_14,Qinghai,0.00121246590503282,0.9905900057740774,0.9959291403587892,-34
within-group,61,0_14,Shaanxi,0.00839880110366433,0.9995490810458532,0.9959291403587892,-34
within-group,64,0_14,Shandong,0.01985728082783897,0.9998825218671468,0.9959291403587892,-34
within-group,67,0_14,Shanghai,0.00215114145344414,1,0.9959291403587892,-34
within-group,70,0_14,Shanxi,0.0071604878943872,0.9982171682609504,0.9959291403587892,-34
within-group,73,0_14,Sichuan,0.02198023969698392,0.9999435244239628,0.9959291403587892,-34
within-group,76,0_14,Tianjin,0.00176456591592749,0.9999377032528588,0.9959291403587892,-34
within-group,79,0_14,Xinjiang,0.00443144600832027,0.9963952654757962,0.9959291403587892,-34
within-group,82,0_14,Xizang,6.912305121974087e-4,0.9943718505579082,0.9959291403587892,-34
within-group,85,0_14,Yunnan,0.01035317309808648,1,0.9959291403587892,-34
within-group,88,0_14,Zhejiang,0.00853805721472757,1,0.9959291403587892,-34
within-group,1,0_14,Anhui,0.01410859002896082,1,0.9951195567209288,-33
within-group,4,0_14,Beijing,0.00192930046313546,0.9981473400176634,0.9951195567209288,-33
within-group,7,0_14,Fujian,0.00836499261741459,1,0.9951195567209288,-33
within-group,10,0_14,Gansu,0.00553588132726672,0.9983073256347637,0.9951195567209288,-33
within-group,13,0_14,Guangdong,0.01662764777845244,1,0.9951195567209288,-33
within-group,16,0_14,Guangxi,0.01247369584553776,1,0.9951195567209288,-33
within-group,19,0_14,Guizhou,0.00936294712703839,1,0.9951195567209288,-33
within-group,22,0_14,Hainan,0.00191883150879834,1,0.9951195567209288,-33
within-group,25,0_14,Hebei,0.01568965512254203,0.9972582739014432,0.9951195567209288,-33
within-group,28,0_14,Heilongjiang,0.00828162665775682,0.9346242156246952,0.9951195567209288,-33
within-group,31,0_14,Henan,0.02215767763694521,0.9999927526596702,0.9951195567209288,-33
within-group,34,0_14,Hubei,0.01358416131756542,1,0.9951195567209288,-33
within-group,37,0_14,Hunan,0.01500601692425047,1,0.9951195567209288,-33
within-group,40,0_14,Jiangsu,0.01408569897696787,1,0.9951195567209288,-33
within-group,43,0_14,Jiangxi,0.0106032824765449,1,0.9951195567209288,-33
within-group,46,0_14,Jilin,0.0057061550879989,0.959651959424546,0.9951195567209288,-33
within-group,49,0_14,Liaoning,0.00810496095245003,0.9806349179206584,0.9951195567209288,-33
within-group,52,0_14,Neimenggu,0.00539920110087013,0.9564865513903906,0.9951195567209288,-33
within-group,55,0_14,Ningxia,0.00138936690749664,0.9969935328399124,0.9951195567209288,-33
within-group,58,0_14,Qinghai,0.00121246590503282,0.9868321375837804,0.9951195567209288,-33
within-group,61,0_14,Shaanxi,0.00839880110366433,0.9994243741381532,0.9951195567209288,-33
within-group,64,0_14,Shandong,0.01985728082783897,0.9997599399010392,0.9951195567209288,-33
within-group,67,0_14,Shanghai,0.00215114145344414,1,0.9951195567209288,-33
within-group,70,0_14,Shanxi,0.0071604878943872,0.9975640239243316,0.9951195567209288,-33
within-group,73,0_14,Sichuan,0.02198023969698392,0.999905305279105,0.9951195567209288,-33
within-group,76,0_14,Tianjin,0.00176456591592749,0.9998512331177024,0.9951195567209288,-33
within-group,79,0_14,Xinjiang,0.00443144600832027,0.9948280790838738,0.9951195567209288,-33
within-group,82,0_14,Xizang,6.912305121974087e-4,0.9913992060434836,0.9951195567209288,-33
within-group,85,0_14,Yunnan,0.01035317309808648,1,0.9951195567209288,-33
within-group,88,0_14,Zhejiang,0.00853805721472757,1,0.9951195567209288,-33
within-group,1,0_14,Anhui,0.01410859002896082,0.9999880825964672,0.9941891097254284,-32
within-group,4,0_14,Beijing,0.00192930046313546,0.997627163671629,0.9941891097254284,-32
within-group,7,0_14,Fujian,0.00836499261741459,1,0.9941891097254284,-32
within-group,10,0_14,Gansu,0.00553588132726672,0.99766708360639,0.9941891097254284,-32
within-group,13,0_14,Guangdong,0.01662764777845244,1,0.9941891097254284,-32
within-group,16,0_14,Guangxi,0.01247369584553776,1,0.9941891097254284,-32
within-group,19,0_14,Guizhou,0.00936294712703839,1,0.9941891097254284,-32
within-group,22,0_14,Hainan,0.00191883150879834,1,0.9941891097254284,-32
within-group,25,0_14,Hebei,0.01568965512254203,0.9966332137494132,0.9941891097254284,-32
within-group,28,0_14,Heilongjiang,0.00828162665775682,0.9252565774508924,0.9941891097254284,-32
within-group,31,0_14,Henan,0.02215767763694521,0.9999878340992588,0.9941891097254284,-32
within-group,34,0_14,Hubei,0.01358416131756542,1,0.9941891097254284,-32
within-group,37,0_14,Hunan,0.01500601692425047,1,0.9941891097254284,-32
within-group,40,0_14,Jiangsu,0.01408569897696787,0.9999952182288678,0.9941891097254284,-32
within-group,43,0_14,Jiangxi,0.0106032824765449,1,0.9941891097254284,-32
within-group,46,0_14,Jilin,0.0057061550879989,0.9512046821185776,0.9941891097254284,-32
within-group,49,0_14,Liaoning,0.00810496095245003,0.9760416871428834,0.9941891097254284,-32
within-group,52,0_14,Neimenggu,0.00539920110087013,0.9495603257176938,0.9941891097254284,-32
within-group,55,0_14,Ningxia,0.00138936690749664,0.9961095789909272,0.9941891097254284,-32
within-group,58,0_14,Qinghai,0.00121246590503282,0.9822015962538204,0.9941891097254284,-32
within-group,61,0_14,Shaanxi,0.00839880110366433,0.9992433779905016,0.9941891097254284,-32
within-group,64,0_14,Shandong,0.01985728082783897,0.9995965590668814,0.9941891097254284,-32
within-group,67,0_14,Shanghai,0.00215114145344414,1,0.9941891097254284,-32
within-group,70,0_14,Shanxi,0.0071604878943872,0.9966087147849748,0.9941891097254284,-32
within-group,73,0_14,Sichuan,0.02198023969698392,0.9998564745087406,0.9941891097254284,-32
within-group,76,0_14,Tianjin,0.00176456591592749,0.999389568846926,0.9941891097254284,-32
