"GBCounty","popgrp1","popgrp2","popgrp3","popgrp4","popgrp5","popgrp6","popgrp7","popgrp8","popgrp9","popgrp10","popgrp11","popgrp12","popgrp13","popgrp14","popgrp15","popgrp16","popgrp17","popgrp18","popgrp19","popgrp20","popgrp21","popgrp22","popgrp23","popgrp24","popgrp25","popgrp26","popgrp27","popgrp28","popgrp29","popgrp30","popgrp31","popgrp32","popgrp33","popgrp34","popgrp35","popgrp36"
110100,0.000209529464625185,0.000198004326808655,0.000235636834148332,0.000221450007814652,0.000162806172011083,0.000151603904353662,0.000248513603754229,0.000207579859609633,0.00037201276647716,0.000270057446836706,0.000428299207831342,0.000358207192303962,0.000388106738189029,0.000351865668548746,0.000313108865394747,0.000295780025896257,0.000191292165802297,0.000186806482030126,0.000147526010015324,0.000159190910804839,0.000185084212989617,0.000202467011610589,0.000187741478627875,0.000173760758450558,0.000134671354803887,0.000124504040807172,8.91333937328162e-05,8.58489638676863e-05,5.30356253686309e-05,5.4413794431349e-05,3.17200028369761e-05,3.79438780136671e-05,1.43849713080372e-05,2.22868867363176e-05,1.25123243852039e-05,5.7373584985813e-06
110112,2.50396865586403e-05,2.39569658059015e-05,2.35111396135973e-05,2.21736610366848e-05,1.71802307677222e-05,1.61771218350377e-05,2.07512631850476e-05,1.99896434398613e-05,2.39436971692258e-05,2.35942897367652e-05,2.64788913500667e-05,2.73581596737777e-05,2.49388449199048e-05,2.59499150345946e-05,2.49733433752617e-05,2.65080823507533e-05,1.69909315511486e-05,1.84469432823642e-05,1.25468228405608e-05,1.26450107519611e-05,1.21682244074136e-05,1.09094730747769e-05,1.08395915882848e-05,1.05627193696514e-05,8.90060148207293e-06,9.12970660867369e-06,6.83423246377414e-06,7.25175223117013e-06,4.86693593265407e-06,5.60821043493762e-06,3.32158204782189e-06,4.23800255422494e-06,1.45158885232376e-06,2.2928204175644e-06,1.01283926624662e-06,4.99785314785451e-07
110113,3.03515641078201e-05,2.84382266991813e-05,2.04867750273116e-05,1.90378399023229e-05,1.52270874490562e-05,1.41461358478742e-05,1.91908715119829e-05,1.76870926887347e-05,2.1545612234034e-05,2.10511343739189e-05,2.43983691193138e-05,2.47203547026446e-05,2.26911378670378e-05,2.28335545673572e-05,1.99622215907314e-05,2.22585803114094e-05,1.36153903808454e-05,1.50988239611909e-05,1.1076657896891e-05,1.15180612103033e-05,1.04043803053212e-05,9.38004155395561e-06,9.71264204662699e-06,9.9346705670007e-06,7.66573369545259e-06,8.7882603582185e-06,6.33444714898869e-06,7.0969514699534e-06,4.20792697775998e-06,5.12080918104951e-06,2.87044840084741e-06,3.83375142350468e-06,1.1702937547985e-06,2.03629344183382e-06,7.89926170094526e-07,3.70637251141777e-07
110114,1.42000949703555e-05,1.32261770383576e-05,1.50890936276287e-05,1.42089407281393e-05,1.19417730081479e-05,1.10262370775233e-05,1.74995626237178e-05,1.5358889240035e-05,2.15739186589422e-05,1.91395661168368e-05,2.32811499112182e-05,2.16809523281264e-05,1.97348856156874e-05,1.91015293583664e-05,1.61346621976754e-05,1.63788051125087e-05,1.17852030953744e-05,1.17480509126824e-05,9.190742337382e-06,9.35615800793931e-06,8.78737578244012e-06,8.34420331747107e-06,8.78914493399688e-06,7.97621979366444e-06,6.16018572064757e-06,6.24952787426408e-06,4.94566317693001e-06,5.30745467028797e-06,3.34546559383818e-06,3.6241069640283e-06,2.23178468885609e-06,2.79437488390662e-06,1.00487808424119e-06,1.60550503776211e-06,6.61662682229234e-07,3.34369644228142e-07
110224,2.62276718290064e-05,2.44249063926652e-05,2.00940233817103e-05,1.88618093224251e-05,1.41709039696689e-05,1.30244937608867e-05,2.2097587519744e-05,1.88954232020036e-05,2.59198394581297e-05,2.0967984250751e-05,2.6238286738347e-05,2.40657686266424e-05,2.16968746921372e-05,2.06893428805609e-05,1.82142998526499e-05,1.94226303659188e-05,1.31244508238438e-05,1.50351345051474e-05,9.6126849836699e-06,1.05352975205216e-05,9.90194126320059e-06,9.22347164118211e-06,9.75863998710281e-06,9.25973924809575e-06,7.5374702075873e-06,7.47289617576546e-06,5.45960170416956e-06,5.48702355329938e-06,3.55864835642808e-06,3.76386993701255e-06,2.21055487017494e-06,2.62719006179255e-06,1.06414466139274e-06,1.50997085369693e-06,6.5281692444542e-07,3.59137766022819e-07
110226,2.24894545895669e-05,2.02267097484675e-05,1.66574464826988e-05,1.56109933368737e-05,1.15675974538926e-05,1.0726365888652e-05,1.3737461838262e-05,1.3756037929608e-05,1.35808919254885e-05,1.45450795239242e-05,1.59816305880155e-05,1.6875936699959e-05,1.53580046642566e-05,1.55021905161328e-05,1.38400726285543e-05,1.43372042160046e-05,9.93201683966555e-06,1.0278770544791e-05,6.935958678288e-06,6.90676767760141e-06,7.39593808304629e-06,6.70419982435209e-06,7.45874296331136e-06,7.0827982574993e-06,5.94877210961443e-06,6.14337878085833e-06,4.2733855853602e-06,4.68913620119942e-06,2.92440752332867e-06,3.36315710940581e-06,1.70192379760568e-06,2.19551708194246e-06,8.60692232365033e-07,1.31536418245304e-06,4.94477860115163e-07,2.54757824173823e-07
110227,9.60649295322123e-06,9.18189657959819e-06,1.00726643884282e-05,9.3375819165933e-06,6.53613042645963e-06,6.1115340528366e-06,1.00434733877416e-05,9.64718343902677e-06,1.22336830150138e-05,1.21814930440893e-05,1.36870410188943e-05,1.30129942757677e-05,1.23637156544358e-05,1.13119550539404e-05,9.94528547634128e-06,9.62860734768076e-06,6.46713351574589e-06,6.03988341478771e-06,5.19511354643354e-06,4.43260922546884e-06,6.22741347980455e-06,4.84835984130806e-06,5.62590195050525e-06,4.77140174858888e-06,3.77979230102342e-06,3.56130208376323e-06,3.10486098211846e-06,3.02171085895062e-06,2.31935769091584e-06,2.18578674838026e-06,1.41709039696689e-06,1.4400893672048e-06,6.64316409564378e-07,7.64273472521468e-07,2.83064249082025e-07,2.19374793038569e-07
110228,1.75906739288911e-05,1.65840266930931e-05,1.64637243872333e-05,1.53376594213539e-05,1.16012113334711e-05,1.10536589266531e-05,1.58029462807824e-05,1.50492877176015e-05,2.08485665206695e-05,2.09777145843132e-05,2.14748461717635e-05,2.14447705952985e-05,1.96119295824924e-05,1.81019587287955e-05,1.59577470419992e-05,1.48812183197091e-05,1.01460841780338e-05,9.59057058921036e-06,8.48042798734179e-06,7.52597072246834e-06,9.56403331585892e-06,7.98683470300501e-06,8.6272675665531e-06,7.68607893835536e-06,6.15310911442052e-06,6.07172814280944e-06,4.71744262610762e-06,4.81739968906471e-06,3.26673834956225e-06,3.31096713848131e-06,1.85583998304403e-06,1.97525771312551e-06,9.23497112630107e-07,1.1039505714199e-06,3.9275164560131e-07,2.5298867261706e-07
110229,1.35853148043804e-05,1.24654418689497e-05,1.02548869987747e-05,9.23231739896592e-06,8.20797864760035e-06,7.54543138959273e-06,1.09192034083391e-05,1.03654589710724e-05,1.2821041331859e-05,1.28493477567672e-05,1.26096277208258e-05,1.25592069014581e-05,1.09696242277069e-05,1.05140677018405e-05,9.46672998023698e-06,1.00647032064228e-05,6.89969107137436e-06,6.6608556112114e-06,5.15796136374153e-06,4.48126089327981e-06,6.18318469088549e-06,4.53698916731783e-06,5.6612849816405e-06,4.35653570852804e-06,4.25746322134933e-06,3.39323268587078e-06,3.45338383880071e-06,3.01817255583709e-06,2.59092245487891e-06,2.12563559545033e-06,1.79745798167086e-06,1.54977676372409e-06,8.44769868354169e-07,7.56312290516036e-07,3.01640340428033e-07,2.75987642854974e-07
120100,0.000183515860134547,0.000174908053235118,0.000208402515083527,0.000197036600907106,0.000151508370169597,0.000142684726780243,0.00018953628288221,0.000170738163015829,0.000226559317510583,0.000195845077333626,0.000299604046986199,0.000276834181874885,0.000311015959103097,0.000297295304204624,0.0002600166271763,0.000255320414368873,0.000173741297783433,0.000169022970581547,0.000120767592719289,0.000126450107519611,0.000120555294532478,0.000132903087822903,0.000127641631093091,0.000126693365858666,0.000106168554072884,0.000102431221409223,7.34595955156774e-05,7.12835391008593e-05,4.58378322599421e-05,4.46878837480463e-05,2.78588295643416e-05,2.93254562048978e-05,1.17170907604391e-05,1.54694612123327e-05,7.96560488432386e-06,4.42818634657693e-06
