"GBCounty","popgrp1","popgrp2","popgrp3","popgrp4","popgrp5","popgrp6","popgrp7","popgrp8","popgrp9","popgrp10","popgrp11","popgrp12","popgrp13","popgrp14","popgrp15","popgrp16","popgrp17","popgrp18","popgrp19","popgrp20","popgrp21","popgrp22","popgrp23","popgrp24","popgrp25","popgrp26","popgrp27","popgrp28","popgrp29","popgrp30","popgrp31","popgrp32","popgrp33","popgrp34","popgrp35","popgrp36","popgrp37","popgrp38"
340803,4.81352782196926e-07,4.50321043614515e-07,2.59295434247909e-06,2.41903227274977e-06,3.56576326362071e-06,3.15296897364073e-06,3.78515043871496e-06,3.28142593800513e-06,3.63143508248116e-06,3.33410772676132e-06,2.92780845183348e-06,3.15369064197986e-06,3.89556569460121e-06,3.67401351448958e-06,4.66775081746584e-06,4.86043626401244e-06,4.03196101069599e-06,4.6107390186749e-06,5.58715628151214e-06,6.04469400851792e-06,7.71752121861158e-06,7.68360280667267e-06,8.30784592001651e-06,8.23712242278218e-06,7.04348298986806e-06,7.19431167274536e-06,4.45846699911935e-06,4.1748513418429e-06,4.79909445518674e-06,5.02930665536788e-06,3.5405048717513e-06,3.95474249840953e-06,2.69398790995671e-06,3.15152563696248e-06,1.7016939436587e-06,2.08129149003888e-06,1.1120909105929e-06,1.48808011527745e-06
340822,1.69231225525006e-06,1.54870025576402e-06,9.12044446987219e-06,7.92897004197545e-06,1.06409996604103e-05,9.05621598768999e-06,1.10249272168252e-05,9.02518424910758e-06,7.95206342882748e-06,5.98696054138785e-06,7.03265796478117e-06,5.62251803012931e-06,1.06958464541839e-05,9.20415799721078e-06,1.15445284209958e-05,1.12825628138932e-05,8.65496839113603e-06,9.36509003683584e-06,1.0358105671473e-05,1.1167095879633e-05,1.68993074973095e-05,1.73222051440372e-05,1.91177159717823e-05,1.94381367143541e-05,1.54963842460489e-05,1.66344552168503e-05,7.69081949006393e-06,7.5840125758733e-06,1.21752665493918e-05,1.19580443793149e-05,9.90417628616283e-06,9.41199847887902e-06,6.52171678068009e-06,6.59027527289704e-06,3.51452481154277e-06,4.07598277938266e-06,2.00984632446543e-06,3.1912173956144e-06
340882,1.51766851718161e-06,1.35890148257393e-06,7.28668522015346e-06,6.65955543345312e-06,8.24794744786906e-06,7.38916212430933e-06,8.74589860186588e-06,7.74422294715924e-06,7.50607239524772e-06,6.26552452029042e-06,4.94775813304666e-06,4.53857218476232e-06,8.57269820047569e-06,7.89938164007129e-06,9.75551260830291e-06,1.01206767879006e-05,7.39060546098758e-06,8.97250246035139e-06,9.81252440709386e-06,1.09253369860259e-05,1.55461793614485e-05,1.5961860324785e-05,1.83181074520308e-05,1.87655418222889e-05,1.55411276830747e-05,1.5279162075972e-05,8.81517876242196e-06,7.79185305754154e-06,1.13229762408842e-05,1.05500694496804e-05,7.63597269629036e-06,7.0810097435026e-06,5.31653065433996e-06,5.31725232267909e-06,2.83471323608624e-06,3.15296897364073e-06,1.43251165316476e-06,2.09716819349965e-06
340826,2.19675842429901e-06,1.72550899884985e-06,1.13532863111275e-05,9.63571566400803e-06,1.82849107084311e-05,1.52394703173201e-05,2.05661043284078e-05,1.55216426379183e-05,1.45892471437677e-05,9.28787152454938e-06,8.82383878249147e-06,6.28500956544682e-06,1.38646921312854e-05,1.11201874375899e-05,1.35226213385397e-05,1.29842567575519e-05,1.03725390382555e-05,1.11418374877636e-05,1.17516472343249e-05,1.30124018227778e-05,2.05047625195821e-05,2.16262351185836e-05,2.16493285054357e-05,2.19769659313988e-05,1.6971474331222e-05,1.76007691229398e-05,9.01724589737719e-06,8.18949231239987e-06,1.27634262457794e-05,1.22149583080437e-05,1.03862507366989e-05,1.04937793192286e-05,6.95110944245996e-06,7.21812672793651e-06,3.85370893093191e-06,4.36320677835474e-06,1.96798956079613e-06,3.05554374785875e-06
340825,1.68004389348492e-06,1.49674013534696e-06,8.34537267365105e-06,7.83443148954997e-06,1.0048509953988e-05,8.74517693352676e-06,9.42787518233979e-06,7.90731999180167e-06,6.68264882030515e-06,5.65282810037259e-06,5.01342995190711e-06,4.22536812558171e-06,8.73868191847463e-06,8.06392202139198e-06,9.89984627612808e-06,1.03516106564208e-05,7.68432447501179e-06,8.93858404841248e-06,9.04106095256835e-06,9.78149266851144e-06,1.46448156058804e-05,1.50929716444775e-05,1.64590898104427e-05,1.65197099509293e-05,1.42847031046566e-05,1.42089279290484e-05,7.21524005458001e-06,6.35212472098552e-06,1.1276067798841e-05,1.03898590783945e-05,7.80267808262843e-06,7.01605959298128e-06,5.10003015260221e-06,4.79187777179548e-06,3.08946215979766e-06,3.16235066204937e-06,1.51622518050336e-06,2.17150003242961e-06
340881,1.86623432497939e-06,1.71973565213684e-06,9.55200213666943e-06,8.82672545584798e-06,1.03862507366989e-05,9.5707655134867e-06,1.02614021140301e-05,9.44880356417444e-06,9.72736754307701e-06,9.96335308997115e-06,7.71896455528983e-06,7.8214414594457e-06,1.20670162985229e-05,1.14521548735877e-05,1.57864949183774e-05,1.63407362028261e-05,1.09996688249558e-05,1.24762022468073e-05,1.35637564338699e-05,1.5531745994666e-05,2.05920843886163e-05,2.17236603443656e-05,2.43368214003402e-05,2.49740545437883e-05,1.92865863631377e-05,1.93385464835548e-05,8.85126217937825e-06,8.09351042329614e-06,1.32455006963154e-05,1.30419902246819e-05,1.10848256889727e-05,1.10920423723639e-05,6.73388727238308e-06,7.19070333104973e-06,3.88474066951432e-06,4.55950056659697e-06,2.02139301789144e-06,3.27132258125737e-06
340827,1.91530777203994e-06,1.61292873794622e-06,9.74829592491166e-06,8.96239910360363e-06,1.0736981549514e-05,9.47694862940035e-06,1.02823304958648e-05,8.92559401830822e-06,7.92897004197545e-06,6.85945756339098e-06,5.23859047371437e-06,4.81280615363013e-06,9.40766846884427e-06,8.90394396813444e-06,1.01942869584914e-05,1.04165608069422e-05,8.11299546845254e-06,9.11611445983743e-06,1.035233232476e-05,1.13698846829274e-05,1.58456717221858e-05,1.7390041967915e-05,1.59813453699414e-05,1.70818895871083e-05,1.36554083129389e-05,1.42074845923701e-05,6.79522908120878e-06,6.28428789710769e-06,1.09765754381038e-05,1.06640930472623e-05,8.82383878249147e-06,8.97033745533402e-06,5.8346885218323e-06,6.21212106319511e-06,2.98842859232005e-06,3.61555837902039e-06,1.50251348205997e-06,2.47171406150595e-06
340811,6.7259489206527e-07,6.47336500195866e-07,3.29152929475289e-06,3.08729715478028e-06,3.2525592044401e-06,2.92275677345959e-06,2.84265158781663e-06,2.55254091548805e-06,5.82675017010192e-06,7.22173506963214e-06,6.3348046808465e-06,7.2765818634057e-06,5.22632211194923e-06,4.87703463581233e-06,5.90685535574489e-06,5.65932311542473e-06,3.53184485168179e-06,3.31534434994404e-06,4.16546965343427e-06,4.0016509404527e-06,6.45027161510663e-06,6.1810893246127e-06,7.05358634661582e-06,6.99657454782488e-06,5.40818253340894e-06,5.17219698651479e-06,2.54460256375766e-06,2.36418547897621e-06,3.16090732537112e-06,3.04399705443273e-06,2.29490531842013e-06,2.37140216236746e-06,1.59777370282458e-06,1.65045549158076e-06,8.49403635151097e-07,9.98788981350143e-07,4.73414430466542e-07,7.07234972343309e-07
340802,7.93113504699283e-07,6.68264882030515e-07,4.17052133180815e-06,3.89340068958383e-06,4.62878072715305e-06,4.07309610602616e-06,3.94030913162701e-06,3.42648127416942e-06,3.00358362744169e-06,2.62759442275713e-06,3.13709227017997e-06,3.24317751603146e-06,5.8065434566064e-06,6.06634405869169e-06,8.00979689595754e-06,8.57702821051044e-06,5.48107103566065e-06,6.12624253083914e-06,6.32181465074224e-06,6.82120914141731e-06,8.90105729477794e-06,8.82095210913497e-06,9.5707655134867e-06,1.00340765872055e-05,8.50341803991961e-06,8.99992585723817e-06,5.07116341903718e-06,4.83373453546478e-06,4.76012436487395e-06,4.87126128909932e-06,3.26771423956174e-06,3.48710141465599e-06,2.58212931739221e-06,2.97760356723316e-06,1.52272019555549e-06,1.80056250611894e-06,1.00672733308053e-06,1.25642457841806e-06
340828,1.15755601595782e-06,1.03126405661081e-06,6.02665230003977e-06,5.5720012463905e-06,7.60421928936883e-06,6.6840921569834e-06,6.9215210405558e-06,6.30377294226409e-06,4.52774715967543e-06,3.93886579494876e-06,3.83927556414939e-06,3.49359642970812e-06,5.62035302511193e-06,5.5048860908518e-06,8.6708450945968e-06,9.42210183562678e-06,6.74110395577434e-06,7.35813038572692e-06,7.65112773141201e-06,8.00041520754891e-06,1.16159735865693e-05,1.14074114365619e-05,1.31985922542722e-05,1.26371342864323e-05,1.16231902699606e-05,1.08394584536699e-05,7.09255643692862e-06,6.16521262115193e-06,7.70741786186382e-06,7.12863985388491e-06,3.71875695151538e-06,3.42287293247379e-06,2.73800967864338e-06,2.79646481411258e-06,1.62952710974611e-06,1.92901947048333e-06,8.54455313524978e-07,1.12868928239279e-06
