"GBCounty","Long","Lat","location_id"
653022,73.75,38.75,730
653022,73.75,39.25,732
653022,74,38.75,927
653022,74,39,928
653022,74,39.25,929
653024,74,39.5,930
653024,74,39.75,931
653024,74,40,932
653022,74.25,38.75,1124
653022,74.25,39,1125
653022,74.25,39.25,1126
653024,74.25,39.5,1127
653024,74.25,39.75,1128
653024,74.25,40,1129
653022,74.5,38.75,1321
653022,74.5,39,1322
653024,74.5,39.25,1323
653024,74.5,39.5,1324
653024,74.5,39.75,1325
653024,74.5,40,1326
653131,74.75,37.25,1512
653022,74.75,38.75,1518
653022,74.75,39,1519
653024,74.75,39.25,1520
653024,74.75,39.5,1521
653024,74.75,39.75,1522
653024,74.75,40,1523
653024,74.75,40.25,1524
653131,75,37,1708
653131,75,37.25,1709
653131,75,37.75,1711
653131,75,38,1712
653131,75,38.25,1713
653022,75,38.5,1714
653022,75,38.75,1715
653024,75,39,1716
653024,75,39.25,1717
653024,75,39.5,1718
653024,75,39.75,1719
653024,75,40,1720
653024,75,40.25,1721
653131,75.25,37,1905
653131,75.25,37.25,1906
653131,75.25,37.5,1907
653131,75.25,37.75,1908
653131,75.25,38,1909
653022,75.25,38.25,1910
653022,75.25,38.5,1911
653022,75.25,38.75,1912
653024,75.25,39,1913
653024,75.25,39.25,1914
653024,75.25,39.5,1915
653024,75.25,39.75,1916
653024,75.25,40,1917
653024,75.25,40.25,1918
653131,75.5,36.75,2101
653131,75.5,37,2102
653131,75.5,37.25,2103
653131,75.5,37.5,2104
653131,75.5,37.75,2105
653022,75.5,38,2106
653022,75.5,38.25,2107
653022,75.5,38.5,2108
653022,75.5,38.75,2109
653022,75.5,39,2110
653121,75.5,39.25,2111
653121,75.5,39.5,2112
653024,75.5,39.75,2113
653024,75.5,40,2114
653024,75.5,40.25,2115
653024,75.5,40.5,2116
653131,75.75,36.75,2298
653131,75.75,37,2299
653131,75.75,37.25,2300
653131,75.75,37.5,2301
653131,75.75,37.75,2302
653022,75.75,38,2303
653022,75.75,38.25,2304
653022,75.75,38.5,2305
653022,75.75,38.75,2306
653022,75.75,39,2307
653121,75.75,39.25,2308
653121,75.75,39.5,2309
653001,75.75,39.75,2310
653024,75.75,40,2311
653024,75.75,40.25,2312
653131,76,36.5,2494
653131,76,36.75,2495
653131,76,37,2496
653131,76,37.25,2497
653131,76,37.5,2498
653022,76,37.75,2499
653022,76,38,2500
653022,76,38.25,2501
653022,76,38.5,2502
653123,76,38.75,2503
653123,76,39,2504
653022,76,39.25,2505
653101,76,39.5,2506
653001,76,39.75,2507
653001,76,40,2508
653001,76,40.25,2509
653131,76.25,36,2689
653131,76.25,36.25,2690
653131,76.25,36.5,2691
653131,76.25,36.75,2692
653126,76.25,37,2693
653126,76.25,37.25,2694
653131,76.25,37.5,2695
653022,76.25,37.75,2696
653022,76.25,38,2697
653022,76.25,38.25,2698
653022,76.25,38.5,2699
653123,76.25,38.75,2700
653123,76.25,39,2701
653122,76.25,39.25,2702
653121,76.25,39.5,2703
653001,76.25,39.75,2704
653001,76.25,40,2705
653001,76.25,40.25,2706
653131,76.5,36,2886
653131,76.5,36.25,2887
653131,76.5,36.5,2888
653126,76.5,36.75,2889
653126,76.5,37,2890
653126,76.5,37.25,2891
653126,76.5,37.5,2892
653125,76.5,37.75,2893
653022,76.5,38,2894
653022,76.5,38.25,2895
653123,76.5,38.5,2896
653123,76.5,38.75,2897
653122,76.5,39,2898
653128,76.5,39.25,2899
653121,76.5,39.5,2900
653001,76.5,39.75,2901
653001,76.5,40,2902
653001,76.5,40.25,2903
653131,76.75,35.75,3082
653131,76.75,36,3083
653131,76.75,36.25,3084
653126,76.75,36.5,3085
653126,76.75,36.75,3086
653126,76.75,37,3087
653126,76.75,37.25,3088
653126,76.75,37.5,3089
653125,76.75,37.75,3090
653125,76.75,38,3091
653125,76.75,38.25,3092
653125,76.75,38.5,3093
653123,76.75,38.75,3094
653122,76.75,39,3095
653128,76.75,39.25,3096
653129,76.75,39.5,3097
653001,76.75,39.75,3098
653001,76.75,40,3099
653001,76.75,40.25,3100
653001,76.75,40.5,3101
653023,76.75,40.75,3102
653131,77,35.75,3279
653131,77,36,3280
653131,77,36.25,3281
653126,77,36.5,3282
653126,77,36.75,3283
653126,77,37,3284
653126,77,37.25,3285
653126,77,37.5,3286
653126,77,37.75,3287
653124,77,38,3288
653125,77,38.25,3289
653125,77,38.5,3290
653125,77,38.75,3291
653128,77,39,3292
653128,77,39.25,3293
653129,77,39.5,3294
653129,77,39.75,3295
653001,77,40,3296
653001,77,40.25,3297
653001,77,40.5,3298
653001,77,40.75,3299
653023,77,41,3300
653126,77.25,35.75,3476
653126,77.25,36,3477
653126,77.25,36.25,3478
653126,77.25,36.5,3479
653126,77.25,36.75,3480
653126,77.25,37,3481
653126,77.25,37.25,3482
653126,77.25,37.5,3483
653126,77.25,37.75,3484
653126,77.25,38,3485
653124,77.25,38.25,3486
653125,77.25,38.5,3487
653125,77.25,38.75,3488
653128,77.25,39,3489
653128,77.25,39.25,3490
653129,77.25,39.5,3491
653129,77.25,39.75,3492
653001,77.25,40,3493
653001,77.25,40.25,3494
653001,77.25,40.5,3495
653023,77.25,40.75,3496
653023,77.25,41,3497
653126,77.5,35.5,3672
653126,77.5,35.75,3673
653126,77.5,36,3674
653126,77.5,36.25,3675
653223,77.5,36.5,3676
653126,77.5,36.75,3677
653126,77.5,37,3678
653126,77.5,37.25,3679
653126,77.5,37.5,3680
653126,77.5,37.75,3681
653126,77.5,38,3682
653126,77.5,38.25,3683
653125,77.5,38.5,3684
653125,77.5,38.75,3685
653127,77.5,39,3686
653130,77.5,39.25,3687
653129,77.5,39.5,3688
653129,77.5,39.75,3689
653130,77.5,40,3690
653001,77.5,40.25,3691
653001,77.5,40.5,3692
653023,77.5,40.75,3693
653023,77.5,41,3694
653023,77.5,41.25,3695
653126,77.75,35.5,3869
653126,77.75,35.75,3870
653126,77.75,36,3871
653126,77.75,36.25,3872
653223,77.75,36.5,3873
653223,77.75,36.75,3874
653223,77.75,37,3875
653223,77.75,37.25,3876
653223,77.75,37.5,3877
653126,77.75,37.75,3878
653126,77.75,38,3879
653126,77.75,38.25,3880
653127,77.75,38.5,3881
653127,77.75,38.75,3882
653127,77.75,39,3883
653130,77.75,39.25,3884
653130,77.75,39.5,3885
653129,77.75,39.75,3886
653130,77.75,40,3887
653023,77.75,40.25,3888
653023,77.75,40.5,3889
653023,77.75,40.75,3890
653023,77.75,41,3891
653023,77.75,41.25,3892
653223,78,35.5,4066
653223,78,35.75,4067
653223,78,36,4068
653223,78,36.25,4069
653223,78,36.5,4070
653223,78,36.75,4071
653223,78,37,4072
653223,78,37.25,4073
653223,78,37.5,4074
653223,78,37.75,4075
653126,78,38,4076
653126,78,38.25,4077
653127,78,38.5,4078
653127,78,38.75,4079
653127,78,39,4080
653127,78,39.25,4081
