,GBCounty,Prov_En,all_locations,GBProv,region_name
1,110100,Beijing,1,110000,Eastern
2,110112,Beijing,1,110000,Eastern
3,110113,Beijing,1,110000,Eastern
4,110114,Beijing,1,110000,Eastern
5,110224,Beijing,1,110000,Eastern
6,110226,Beijing,1,110000,Eastern
7,110227,Beijing,1,110000,Eastern
8,110228,Beijing,1,110000,Eastern
9,110229,Beijing,1,110000,Eastern
10,120100,Tianjin,1,120000,Eastern
11,120114,Tianjin,1,120000,Eastern
12,120221,Tianjin,1,120000,Eastern
13,120223,Tianjin,1,120000,Eastern
14,120224,Tianjin,1,120000,Eastern
15,120225,Tianjin,1,120000,Eastern
16,130100,Hebei,1,130000,Eastern
17,130121,Hebei,1,130000,Eastern
18,130122,Hebei,1,130000,Eastern
19,130123,Hebei,1,130000,Eastern
20,130124,Hebei,1,130000,Eastern
21,130125,Hebei,1,130000,Eastern
22,130126,Hebei,1,130000,Eastern
23,130127,Hebei,1,130000,Eastern
24,130128,Hebei,1,130000,Eastern
25,130129,Hebei,1,130000,Eastern
26,130130,Hebei,1,130000,Eastern
27,130131,Hebei,1,130000,Eastern
28,130132,Hebei,1,130000,Eastern
29,130133,Hebei,1,130000,Eastern
30,130181,Hebei,1,130000,Eastern
31,130182,Hebei,1,130000,Eastern
32,130183,Hebei,1,130000,Eastern
33,130184,Hebei,1,130000,Eastern
34,130200,Hebei,1,130000,Eastern
35,130221,Hebei,1,130000,Eastern
36,130223,Hebei,1,130000,Eastern
37,130224,Hebei,1,130000,Eastern
38,130225,Hebei,1,130000,Eastern
39,130227,Hebei,1,130000,Eastern
40,130229,Hebei,1,130000,Eastern
41,130230,Hebei,1,130000,Eastern
42,130281,Hebei,1,130000,Eastern
43,130282,Hebei,1,130000,Eastern
44,130283,Hebei,1,130000,Eastern
45,130300,Hebei,1,130000,Eastern
46,130321,Hebei,1,130000,Eastern
47,130322,Hebei,1,130000,Eastern
48,130323,Hebei,1,130000,Eastern
49,130324,Hebei,1,130000,Eastern
50,130400,Hebei,1,130000,Eastern
51,130421,Hebei,1,130000,Eastern
