"","GBProv","Prov_En","...1","GBCounty","County_CH","GbCity","City_CH","Prov_CH","all_locations","region_name"
"1",110000,"Beijing",108,110115,"大兴区",110000,"北京市","北京市",1,"Eastern"
"2",110000,"Beijing",109,110101,"东城区",110000,"北京市","北京市",1,"Eastern"
"3",110000,"Beijing",112,110108,"海淀区",110000,"北京市","北京市",1,"Eastern"
"4",110000,"Beijing",113,110116,"怀柔区",110000,"北京市","北京市",1,"Eastern"
"5",110000,"Beijing",110,110111,"房山区",110000,"北京市","北京市",1,"Eastern"
"6",110000,"Beijing",121,110119,"延庆区",110000,"北京市","北京市",1,"Eastern"
"7",110000,"Beijing",116,110117,"平谷区",110000,"北京市","北京市",1,"Eastern"
"8",110000,"Beijing",117,110107,"石景山区",110000,"北京市","北京市",1,"Eastern"
"9",110000,"Beijing",114,110109,"门头沟区",110000,"北京市","北京市",1,"Eastern"
"10",110000,"Beijing",111,110106,"丰台区",110000,"北京市","北京市",1,"Eastern"
"11",110000,"Beijing",107,110105,"朝阳区",110000,"北京市","北京市",1,"Eastern"
"12",110000,"Beijing",120,110102,"西城区",110000,"北京市","北京市",1,"Eastern"
"13",110000,"Beijing",106,110114,"昌平区",110000,"北京市","北京市",1,"Eastern"
"14",110000,"Beijing",115,110118,"密云区",110000,"北京市","北京市",1,"Eastern"
"15",110000,"Beijing",119,110112,"通州区",110000,"北京市","北京市",1,"Eastern"
"16",110000,"Beijing",118,110113,"顺义区",110000,"北京市","北京市",1,"Eastern"
"17",120000,"Tianjin",2401,120110,"东丽区",120000,"天津市","天津市",1,"Eastern"
"18",120000,"Tianjin",2400,120116,"滨海新区",120000,"天津市","天津市",1,"Eastern"
"19",120000,"Tianjin",2405,120103,"河西区",120000,"天津市","天津市",1,"Eastern"
"20",120000,"Tianjin",2402,120101,"和平区",120000,"天津市","天津市",1,"Eastern"
"21",120000,"Tianjin",2404,120102,"河东区",120000,"天津市","天津市",1,"Eastern"
