utci_thres,year_1990_time_2G_apr2sep,year_2020_time_2G_apr2sep,cdf_percpoint_chg_time_2G_apr2sep,cdf_percent_chg_time_2G_apr2sep,year_1990_time_3G_oct2mar,year_2020_time_3G_oct2mar,cdf_percpoint_chg_time_3G_oct2mar,cdf_percent_chg_time_3G_oct2mar
-40,0.9999999834346652,0.9999998941573748,-8.927729044927446e-8,-8.927729192818268e-8,0.9990085681703054,0.9995063286083878,4.977604380824729e-4,4.982544233770952e-4
-39,0.999999981603691,0.9999998473855396,-1.3421815137082405e-7,-1.342181538399427e-7,0.9985953758911056,0.999329095188234,7.33719297128399e-4,7.347513465838534e-4
-38,0.9999999606494494,0.9999997636571614,-1.9699228803737867e-7,-1.9699229578913396e-7,0.9980653465193442,0.9990947264794576,0.0010293799601134301,0.0010313753139544345
-37,0.999999921286775,0.9999995844787488,-3.3680802613567096e-7,-3.36808052646919e-7,0.997372027839559,0.9987872376465828,0.0014152098070238095,0.001418938738526027
-36,0.9999997752123172,0.9999992697006532,-5.055116639729462e-7,-5.055117776057674e-7,0.9964845528189692,0.9983935982006228,0.0019090453816535957,0.0019157802057774708
-35,0.9999993430635792,0.9999988517478062,-4.913157729546924e-7,-4.913160957181298e-7,0.9954048423308328,0.9979136653278856,0.0025088229970527953,0.002520404653827234
-34,0.9999984700207816,0.9999982206052616,-2.494155200150061e-7,-2.4941590161615233e-7,0.9941118849978172,0.9973200512266792,0.003208166228861997,0.0032271681661557054
-33,0.9999972387988146,0.9999968992110176,-3.395877969936123e-7,-3.39588734666429e-7,0.9926080487664116,0.996587591418287,0.00397954265187539,0.0040091783023732935
-32,0.9999951036286292,0.9999952390734826,1.3544485344407775e-7,1.354455166356277e-7,0.9908822864121614,0.9956937533820848,0.004811466969923406,0.00485574021849257
-31,0.999990900780916,0.9999928386243084,1.93784339241887e-6,1.9378610254408947e-6,0.988930103540922,0.9946477898466431,0.005717686305721115,0.005781689004357947
-30,0.9999847283787798,0.9999890112558398,4.282877060002299e-6,4.28294246747737e-6,0.986785819670564,0.9934239538292,0.006638134158636011,0.006727026297208178
-29,0.9999761422713982,0.999983380474458,7.23820305981171e-6,7.238375751015895e-6,0.9844088505181396,0.99199855103852,0.007589700520380327,0.00770990683026216
-28,0.9999641274796978,0.999975192962256,1.1065482558247908e-5,1.1065879519235624e-5,0.981795738882234,0.9903719080157372,0.00857616913350312,0.008735186754086969
-27,0.9999484526520338,0.9999643069598728,1.585430783901387e-5,1.5855125128665926e-5,0.9789352469202376,0.9885237395359564,0.009588492615718813,0.009794818039175243
-26,0.9999270715951836,0.9999504852594362,2.3413664252625033e-5,2.3415371898345763e-5,0.9758393689293364,0.9864407545792364,0.010601385649899986,0.010863863446636231
-25,0.9998991577545724,0.999930801050122,3.164329554961043e-5,3.164648685240452e-5,0.9724906072283362,0.9841389162739846,0.011648309045648397,0.011977811362977441
-24,0.9998621976498264,0.9999049645658402,4.276691601379223e-5,4.2772810207562366e-5,0.9688511372049634,0.981613777913437,0.01276264070847355,0.013172963542461709
-23,0.9998121532735402,0.999871127224028,5.8973950487817284e-5,5.898503063273177e-5,0.9649058804672156,0.9788024454051404,0.013896564937924794,0.014401990100004322
-22,0.9997464205791576,0.9998309230747832,8.450249562552692e-5,8.452392915452924e-5,0.9606617785445962,0.9756808776847676,0.01501909914017141,0.01563411751732786
-21,0.9996631565010348,0.9997774618531768,1.1430535214207449e-4,1.1434386813070086e-4,0.9560142235656468,0.9722380848221016,0.016223861256454808,0.016970313680004324
-20,0.9995527145401396,0.9997104600962072,1.577455560676233e-4,1.5781614493458375e-4,0.950933061818655,0.9684232159684136,0.01749015414975863,0.018392623889118748
-19,0.99940965215014,0.9996236997607232,2.140476105831901e-4,2.14174047771788e-4,0.9453840589877892,0.9641712769161742,0.018787217928385003,0.01987257744593265
-18,0.9992180636619076,0.9995145142757308,2.9645061382321813e-4,2.966826007296084e-4,0.9392237607641436,0.959355190114226,0.020131429350082386,0.02143411420267269
-17,0.998982737438726,0.9993746889594612,3.919515207352342e-4,3.923506443566299e-4,0.9322423797505064,0.9537970879395375,0.021554708189031158,0.02312135626659645
-16,0.998681813437127,0.9991973087968344,5.154953597074075e-4,5.161757756789881e-4,0.9243241441991984,0.9474214331433272,0.02309728894412877,0.02498829992603887
-15,0.9982994693180468,0.9989764343807422,6.769650626954338e-4,6.781182235405561e-4,0.9153981010921748,0.940079273027561,0.024681171935386215,0.026962227588126685
-14,0.9978283630999414,0.998698827037168,8.704639372265621e-4,8.723583828809017e-4,0.9053437435723956,0.93157572868483,0.02623198511243441,0.02897461356382232
-13,0.9972510598352348,0.9983606823413004,0.0011096225060656106,0.0011126812001071645,0.8940968226951558,0.9217984738456538,0.027701651150498052,0.030982831442118868
-12,0.9965543941381144,0.9979556085796611,0.0014012144415467276,0.0014060591672555814,0.8817701780890077,0.9108880021693612,0.02911782408035346,0.03302201050103358
-11,0.9957373299785154,0.9974622528567552,0.0017249228782397763,0.0017323071319190115,0.868487197073384,0.8989422685562461,0.030455071482862195,0.035066805343232775
